,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,4.1263,9.9439,19.7054,5.0,1.3,1.8,4.3,7.3,1.0,4.0,9.0,4.0,high_cue,med_stim,h037.png
1,25.5106,31.0699,37.3361,47.6633,4.0,1.9,2.3,1.3,0.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h007.png
2,52.4987,58.058,65.2137,79.5791,2.0,1.9,3.2,8.9,8.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l002.png
3,86.6466,92.2059,99.3617,109.6888,6.0,1.9,3.2,4.8,2.7,1.0,4.0,9.0,4.0,high_cue,high_stim,h047.png
4,116.3401,119.9507,141.0659,152.9315,6.0,1.1,12.1,2.9,8.6,1.0,4.0,9.0,4.0,high_cue,high_stim,h050.png
5,159.9991,162.8029,169.9587,180.2858,3.0,1.8,3.2,1.3,2.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l042.png
6,186.3305,190.3744,203.1913,217.5566,5.0,1.3,6.2,5.4,3.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h021.png
7,224.6242,227.9864,233.5096,243.7108,4.0,1.0,1.5,4.7,1.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h053.png
8,249.516,253.2877,259.1053,278.0976,3.0,1.2,1.8,10.0,1.8,1.0,4.0,9.0,4.0,low_cue,high_stim,l019.png
9,283.9028,289.462,298.8639,310.7294,1.0,1.9,5.4,2.9,0.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l052.png
10,315.5264,318.1357,339.251,349.5781,1.0,1.6,12.1,1.3,10.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l047.png
11,358.2526,361.6148,366.6811,378.5467,2.0,1.0,1.1,6.4,6.3,1.0,4.0,9.0,4.0,low_cue,med_stim,l001.png
