,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,5.0,high_cue,med_stim,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,h012.png,115-jy115,jy115*M.mp4,jy115t1aeaff_M.mp4
1,1,1,1.0,low_cue,low_stim,2.1,6.9,5.9,5.8,1.0,4.0,9.0,4.0,l043.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4
2,2,1,4.0,high_cue,low_stim,1.0,6.9,3.6,5.2,1.0,4.0,9.0,4.0,h017.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4
3,3,1,6.0,high_cue,high_stim,2.1,5.2,0.6,4.5,1.0,4.0,9.0,4.0,h033.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4
4,4,1,4.0,high_cue,low_stim,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,h026.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4
5,5,1,5.0,high_cue,med_stim,1.0,5.2,1.0,6.9,1.0,4.0,9.0,4.0,h021.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4
6,6,1,3.0,low_cue,high_stim,1.4,2.6,9.5,8.4,1.0,4.0,9.0,4.0,l008.png,052-dr052,dr052*H.mp4,dr052t1aiaff_H.mp4
7,7,1,2.0,low_cue,med_stim,1.9,2.6,7.1,3.0,1.0,4.0,9.0,4.0,l025.png,048-aa048,aa048*M.mp4,aa048t2afunaff_M.mp4
8,8,1,6.0,high_cue,high_stim,0.8,2.6,4.6,9.4,1.0,4.0,9.0,4.0,h007.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4
9,9,1,2.0,low_cue,med_stim,1.5,2.1,2.7,1.3,1.0,4.0,9.0,4.0,l024.png,066-mg066,mg066*M.mp4,mg066t2aaunaff_M.mp4
10,10,1,1.0,low_cue,low_stim,0.9,11.5,13.4,5.2,1.0,4.0,9.0,4.0,l041.png,108-th108,th108*L.mp4,th108t1aaunaff_L.mp4
11,11,1,3.0,low_cue,high_stim,1.0,5.8,1.0,1.6,1.0,4.0,9.0,4.0,l030.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4
