,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
66,36,4,2.0,low_cue,med_stim,2.3,12.2,5.8,8.2,1.0,4.0,9.0,4.0,l021.png,14,diff
42,37,4,3.0,low_cue,high_stim,1.2,2.7,5.8,2.2,1.0,4.0,9.0,4.0,l053.png,38,diff
18,38,4,4.0,high_cue,low_stim,1.8,0.7,0.9,3.8,1.0,4.0,9.0,4.0,h008.png,38,same
30,39,4,5.0,high_cue,med_stim,1.1,7.5,5.8,12.8,1.0,4.0,9.0,4.0,h013.png,42,same
6,40,4,6.0,high_cue,high_stim,1.2,12.2,1.7,0.9,1.0,4.0,9.0,4.0,h031.png,38,same
43,41,4,3.0,low_cue,high_stim,1.0,2.5,1.7,1.5,1.0,4.0,9.0,4.0,l046.png,42,diff
54,42,4,1.0,low_cue,low_stim,2.3,2.5,6.1,4.9,1.0,4.0,9.0,4.0,l006.png,13,same
7,43,4,6.0,high_cue,high_stim,2.0,0.7,2.0,2.2,1.0,4.0,9.0,4.0,h006.png,8,same
19,44,4,4.0,high_cue,low_stim,1.0,3.3,9.9,3.4,1.0,4.0,9.0,4.0,h049.png,1,same
67,45,4,2.0,low_cue,med_stim,1.2,1.3,9.2,1.5,1.0,4.0,9.0,4.0,l035.png,48,same
55,46,4,1.0,low_cue,low_stim,1.2,5.9,4.7,4.3,1.0,4.0,9.0,4.0,l002.png,42,diff
31,47,4,5.0,high_cue,med_stim,1.8,2.5,0.6,8.2,1.0,4.0,9.0,4.0,h032.png,3,diff
