,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,1.0,low_cue,low_stim,0.8,0.6,5.7,11.4,1.0,4.0,9.0,4.0,l005.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4
13,1,2,2.0,low_cue,med_stim,2.0,0.6,6.5,1.3,1.0,4.0,9.0,4.0,l026.png,096-bg096,bg096*M.mp4,bg096t2aaaff_M.mp4
14,2,2,5.0,high_cue,med_stim,2.0,4.9,2.8,4.5,1.0,4.0,9.0,4.0,h052.png,048-aa048,aa048*M.mp4,aa048t2afunaff_M.mp4
15,3,2,3.0,low_cue,high_stim,0.9,3.4,3.2,9.1,1.0,4.0,9.0,4.0,l037.png,048-aa048,aa048*H.mp4,aa048t2aeaff_H.mp4
16,4,2,5.0,high_cue,med_stim,0.7,2.5,4.2,10.6,1.0,4.0,9.0,4.0,h013.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4
17,5,2,3.0,low_cue,high_stim,2.1,2.2,4.8,0.9,1.0,4.0,9.0,4.0,l053.png,052-dr052,dr052*H.mp4,dr052t1aiaff_H.mp4
18,6,2,1.0,low_cue,low_stim,2.0,9.4,5.9,1.3,1.0,4.0,9.0,4.0,l047.png,047-jl047,jl047*L.mp4,jl047t1aaunaff_L.mp4
19,7,2,6.0,high_cue,high_stim,0.7,0.8,3.2,1.7,1.0,4.0,9.0,4.0,h003.png,106-nm106,nm106*H.mp4,nm106t1afaff_H.mp4
20,8,2,6.0,high_cue,high_stim,2.0,6.3,4.0,4.7,1.0,4.0,9.0,4.0,h029.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4
21,9,2,4.0,high_cue,low_stim,1.8,14.7,2.2,3.9,1.0,4.0,9.0,4.0,h037.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4
22,10,2,4.0,high_cue,low_stim,1.9,0.8,6.7,0.9,1.0,4.0,9.0,4.0,h007.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4
23,11,2,2.0,low_cue,med_stim,0.9,7.6,5.0,3.6,1.0,4.0,9.0,4.0,l002.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4
