,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,50,low,l049.png,29,5,pain,99,2,3
1,48,high,h001.png,8,2,pain,99,2,3
2,49,high,h031.png,12,4,pain,99,2,3
3,50,low,l032.png,27,5,pain,99,2,3
4,50,high,h004.png,26,6,pain,99,2,3
5,50,high,h053.png,32,6,pain,99,2,3
6,49,low,l042.png,21,3,pain,99,2,3
7,48,low,l023.png,3,1,pain,99,2,3
8,50,low,l046.png,33,5,pain,99,2,3
9,48,low,l021.png,5,1,pain,99,2,3
10,50,high,h014.png,34,6,pain,99,2,3
11,48,high,h010.png,0,2,pain,99,2,3
12,49,low,l012.png,17,3,pain,99,2,3
13,48,low,l007.png,7,1,pain,99,2,3
14,48,low,l025.png,11,1,pain,99,2,3
15,48,low,l014.png,1,1,pain,99,2,3
16,49,low,l005.png,19,3,pain,99,2,3
17,48,low,l002.png,9,1,pain,99,2,3
18,49,low,l038.png,23,3,pain,99,2,3
19,48,high,h034.png,2,2,pain,99,2,3
20,50,low,l052.png,35,5,pain,99,2,3
21,50,low,l017.png,31,5,pain,99,2,3
22,50,low,l011.png,25,5,pain,99,2,3
23,49,low,l040.png,13,3,pain,99,2,3
24,49,high,h011.png,22,4,pain,99,2,3
25,50,high,h041.png,28,6,pain,99,2,3
26,48,high,h024.png,10,2,pain,99,2,3
27,48,high,h026.png,6,2,pain,99,2,3
28,49,high,h015.png,16,4,pain,99,2,3
29,50,high,h047.png,24,6,pain,99,2,3
30,49,high,h006.png,18,4,pain,99,2,3
31,49,low,l018.png,15,3,pain,99,2,3
32,50,high,h003.png,30,6,pain,99,2,3
33,49,high,h027.png,14,4,pain,99,2,3
34,49,high,h050.png,20,4,pain,99,2,3
35,48,high,h023.png,4,2,pain,99,2,3
