,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,4.0,high_cue,low_stim,0.9,7.3,9.3,5.3,1.0,4.0,9.0,4.0,h024.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4
1,1,1,2.0,low_cue,med_stim,1.6,8.0,7.9,8.8,1.0,4.0,9.0,4.0,l020.png,066-mg066,mg066*M.mp4,mg066t2aaunaff_M.mp4
2,2,1,6.0,high_cue,high_stim,1.9,3.5,3.8,5.3,1.0,4.0,9.0,4.0,h044.png,049-bm049,bm049*H.mp4,bm049t2aeunaff_H.mp4
3,3,1,3.0,low_cue,high_stim,2.3,2.0,1.3,3.0,1.0,4.0,9.0,4.0,l017.png,066-mg066,mg066*H.mp4,mg066t1aaaff_H.mp4
4,4,1,4.0,high_cue,low_stim,0.8,8.0,3.6,4.3,1.0,4.0,9.0,4.0,h032.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4
5,5,1,5.0,high_cue,med_stim,1.1,2.0,2.0,6.7,1.0,4.0,9.0,4.0,h013.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4
6,6,1,3.0,low_cue,high_stim,1.1,3.9,2.0,6.7,1.0,4.0,9.0,4.0,l006.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4
7,7,1,5.0,high_cue,med_stim,1.5,3.0,3.6,3.0,1.0,4.0,9.0,4.0,h049.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4
8,8,1,1.0,low_cue,low_stim,2.1,5.8,5.7,5.3,1.0,4.0,9.0,4.0,l028.png,101-mg101,mg101*L.mp4,mg101t2afunaff_L.mp4
9,9,1,1.0,low_cue,low_stim,1.3,2.0,3.8,0.5,1.0,4.0,9.0,4.0,l047.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4
10,10,1,6.0,high_cue,high_stim,2.1,6.3,5.3,4.4,1.0,4.0,9.0,4.0,h012.png,109-ib109,ib109*H.mp4,ib109t1aiaff_H.mp4
11,11,1,2.0,low_cue,med_stim,1.3,2.0,5.8,0.8,1.0,4.0,9.0,4.0,l003.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4
