,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.0653,11.8682,21.8225,1.0,0.7,4.8,1.0,7.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l013.png
1,31.8222,36.7615,42.5709,52.7497,2.0,1.3,1.8,3.5,0.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l004.png
2,57.3681,63.7669,71.7387,85.7998,1.0,1.9,4.0,5.1,1.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l046.png
3,90.7758,93.181,99.265,109.4439,3.0,1.4,2.1,3.5,1.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l036.png
4,114.4198,120.8186,125.4331,136.4299,5.0,1.9,4.9,2.0,3.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h021.png
5,142.2975,146.0114,153.7172,167.7784,6.0,0.9,8.0,7.4,7.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h031.png
6,177.0702,183.2061,190.3788,200.3792,5.0,1.8,3.2,1.0,6.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h028.png
7,210.3789,216.7777,222.8618,233.0406,4.0,1.9,6.4,1.2,1.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png
8,238.0166,240.4217,247.0598,260.8416,4.0,1.4,6.9,7.1,4.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h043.png
9,267.7553,275.1051,282.0749,297.3831,6.0,2.2,3.0,6.3,1.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h007.png
10,302.3591,306.0762,314.0479,324.6193,2.0,0.9,8.3,3.9,10.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l027.png
11,337.6934,340.4707,345.0777,366.0571,3.0,1.8,0.6,12.0,9.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l029.png
