,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,43,50,different,low,l038.png,9,1,cognitive,99,1,43_50_R.jpg,5,2.8,0.5
1,1,45,150,same,high,h039.png,24,6,cognitive,99,1,45_150.jpg,5,1.3,0.3
2,2,19,50,different,high,h007.png,6,2,cognitive,99,1,19_50_R.jpg,5,2.5,0.1
3,3,26,150,same,low,l023.png,25,5,cognitive,99,1,26_150.jpg,5,0.7,0.1
4,4,14,150,different,low,l029.png,33,5,cognitive,99,1,14_150_R.jpg,5,1.3,0.3
5,5,30,50,same,low,l031.png,1,1,cognitive,99,1,30_50.jpg,5,4.0,0.7
6,6,43,150,same,low,l006.png,29,5,cognitive,99,1,43_150.jpg,5,2.8,4.5
7,7,7,150,different,high,h037.png,32,6,cognitive,99,1,7_150_R.jpg,5,4.0,0.2
8,8,19,150,same,high,h048.png,28,6,cognitive,99,1,19_150.jpg,5,2.2,0.1
9,9,47,150,different,high,h032.png,34,6,cognitive,99,1,47_150_R.jpg,5,3.8,0.2
10,10,47,50,same,low,l053.png,3,1,cognitive,99,1,47_50.jpg,5,4.0,5.5
11,11,25,100,same,high,h050.png,14,4,cognitive,99,1,25_100.jpg,5,0.2,0.1
12,12,38,150,different,low,l027.png,35,5,cognitive,99,1,38_150_R.jpg,5,0.7,0.1
13,13,25,50,same,high,h013.png,0,2,cognitive,99,1,25_50.jpg,5,2.8,0.3
14,14,43,100,same,low,l013.png,13,3,cognitive,99,1,43_100.jpg,5,0.9,0.1
15,15,47,100,different,high,h042.png,18,4,cognitive,99,1,47_100_R.jpg,5,1.3,0.1
16,16,44,150,different,low,l004.png,31,5,cognitive,99,1,44_150_R.jpg,5,2.2,1.7
17,17,37,150,same,low,l030.png,27,5,cognitive,99,1,37_150.jpg,5,1.0,1.5
18,18,7,50,same,low,l041.png,5,1,cognitive,99,1,7_50.jpg,5,1.8,0.8
19,19,37,50,different,high,h016.png,10,2,cognitive,99,1,37_50_R.jpg,5,2.8,1.0
20,20,19,100,different,high,h031.png,20,4,cognitive,99,1,19_100_R.jpg,5,1.2,0.1
21,21,14,100,same,low,l043.png,17,3,cognitive,99,1,14_100.jpg,5,0.2,4.6
22,22,38,100,different,high,h018.png,22,4,cognitive,99,1,38_100_R.jpg,5,0.4,0.1
23,23,14,50,different,low,l018.png,7,1,cognitive,99,1,14_50_R.jpg,5,1.3,0.5
24,24,26,100,same,low,l010.png,15,3,cognitive,99,1,26_100.jpg,5,2.8,0.1
25,25,45,50,same,high,h021.png,2,2,cognitive,99,1,45_50.jpg,5,2.4,0.9
26,26,30,150,different,high,h003.png,30,6,cognitive,99,1,30_150_R.jpg,5,1.4,4.3
27,27,44,100,same,high,h022.png,12,4,cognitive,99,1,44_100.jpg,5,0.9,0.5
28,28,38,50,same,high,h012.png,4,2,cognitive,99,1,38_50.jpg,5,2.1,0.7
29,29,45,100,different,low,l048.png,19,3,cognitive,99,1,45_100_R.jpg,5,2.5,0.1
30,30,25,150,same,high,h056.png,26,6,cognitive,99,1,25_150.jpg,5,2.8,0.7
31,31,44,50,different,low,l040.png,11,1,cognitive,99,1,44_50_R.jpg,5,3.8,4.7
32,32,37,100,different,low,l056.png,23,3,cognitive,99,1,37_100_R.jpg,5,0.2,0.2
33,33,7,100,different,low,l019.png,21,3,cognitive,99,1,7_100_R.jpg,5,1.2,0.2
34,34,30,100,same,high,h038.png,16,4,cognitive,99,1,30_100.jpg,5,4.0,0.1
35,35,26,50,different,high,h023.png,8,2,cognitive,99,1,26_50_R.jpg,5,1.2,0.2
