,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,high,h001.png,24,6,pain,99,1,1,1.8233,0.4952
1,1,50,low,l035.png,27,5,pain,99,1,1,0.0814,1.1449
2,2,48,high,h013.png,10,2,pain,99,1,1,0.8268,0.0224
3,3,50,high,h037.png,28,6,pain,99,1,1,4.0,0.1029
4,4,50,high,h043.png,34,6,pain,99,1,1,0.1182,0.0936
5,5,48,high,h040.png,6,2,pain,99,1,1,4.0,1.3627
6,6,49,high,h047.png,20,4,pain,99,1,1,4.0,0.3421
7,7,48,low,l014.png,11,1,pain,99,1,1,0.0814,0.5838
8,8,48,low,l022.png,7,1,pain,99,1,1,0.0814,0.6151
9,9,50,low,l041.png,35,5,pain,99,1,1,2.5338,0.1553
10,10,50,high,h049.png,26,6,pain,99,1,1,2.4044,2.0
11,11,50,high,h032.png,32,6,pain,99,1,1,2.9505,0.7383
12,12,49,low,l033.png,15,3,pain,99,1,1,4.0,0.7383
13,13,49,high,h020.png,22,4,pain,99,1,1,2.9505,0.882
14,14,50,high,h016.png,30,6,pain,99,1,1,3.1575,0.933
15,15,48,low,l036.png,9,1,pain,99,1,1,1.2443,0.0575
16,16,50,low,l002.png,25,5,pain,99,1,1,4.0,0.0575
17,17,50,low,l008.png,29,5,pain,99,1,1,4.0,1.5544
18,18,48,low,l043.png,5,1,pain,99,1,1,4.0,0.6151
19,19,48,high,h011.png,2,2,pain,99,1,1,4.0,0.3421
20,20,48,high,h051.png,4,2,pain,99,1,1,2.5338,0.9159
21,21,49,low,l021.png,23,3,pain,99,1,1,4.0,0.2378
22,22,50,low,l046.png,31,5,pain,99,1,1,2.2456,0.0224
23,23,50,low,l042.png,33,5,pain,99,1,1,2.5338,0.0575
24,24,49,low,l052.png,21,3,pain,99,1,1,4.0,0.0319
25,25,48,low,l026.png,1,1,pain,99,1,1,4.0,1.3627
26,26,49,high,h005.png,14,4,pain,99,1,1,0.5201,1.5544
27,27,49,low,l049.png,17,3,pain,99,1,1,4.0,0.5627
28,28,49,high,h010.png,12,4,pain,99,1,1,4.0,0.0542
29,29,49,low,l030.png,19,3,pain,99,1,1,1.0719,0.0224
30,30,48,low,l016.png,3,1,pain,99,1,1,0.2099,0.0259
31,31,48,high,h054.png,8,2,pain,99,1,1,0.535,1.1449
32,32,49,low,l013.png,13,3,pain,99,1,1,1.0719,0.5369
33,33,49,high,h045.png,16,4,pain,99,1,1,1.8233,0.1029
34,34,48,high,h055.png,0,2,pain,99,1,1,0.1813,0.2434
35,35,49,high,h007.png,18,4,pain,99,1,1,4.0,0.4952
