,trial_order,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,043-jh043,high,high,h041.png,28,6,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,4,1.5,0.6
1,1,064-ak064,low,low,l008.png,7,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,4,4.4,0.6
2,2,043-jh043,low,low,l039.png,1,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,4,3.1,1.0
3,3,120-kz120,low,low,l020.png,9,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4,1.8,0.6
4,4,107-hs107,low,high,h044.png,6,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,4,1.4,0.8
5,5,120-kz120,med,high,h053.png,14,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4,1.6,1.4
6,6,052-dr052,high,low,l036.png,25,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,4,1.9,1.4
7,7,107-hs107,high,high,h043.png,26,6,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,4,2.8,0.6
8,8,101-mg101,high,low,l025.png,35,5,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,4,1.4,0.6
9,9,064-ak064,med,high,h047.png,16,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,4,1.8,0.6
10,10,107-hs107,med,low,l023.png,21,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,4,1.1,2.6
11,11,108-th108,high,high,h055.png,30,6,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,4,2.3,0.6
12,12,049-bm049,low,low,l005.png,5,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,4,3.5,0.8
13,13,120-kz120,high,low,l033.png,33,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4,1.5,1.7
14,14,043-jh043,med,high,h045.png,12,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,4,1.0,1.8
15,15,092-ch092,med,low,l009.png,17,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,4,1.6,0.6
16,16,042-ll042,med,low,l022.png,23,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,4,1.3,2.1
17,17,049-bm049,high,high,h054.png,32,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,4,1.7,0.6
18,18,080-bn080,high,low,l027.png,31,5,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,4,2.1,0.6
19,19,047-jl047,med,low,l035.png,13,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,4,2.6,1.4
20,20,108-th108,low,high,h002.png,0,2,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,4,3.0,0.8
21,21,047-jl047,high,low,l032.png,27,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,4,2.6,2.6
22,22,064-ak064,high,high,h040.png,34,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,4,1.4,1.1
23,23,108-th108,med,low,l037.png,19,3,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,4,2.1,0.8
24,24,052-dr052,low,high,h050.png,8,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,4,2.2,0.6
25,25,092-ch092,high,high,h042.png,24,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,4,1.4,1.0
26,26,101-mg101,med,low,l021.png,15,3,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,4,3.2,0.6
27,27,080-bn080,med,high,h046.png,18,4,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,4,1.5,1.9
28,28,042-ll042,low,high,h048.png,2,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,4,1.4,1.4
29,29,101-mg101,low,low,l034.png,11,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,4,2.1,0.5
30,30,080-bn080,low,high,h049.png,4,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,4,3.0,0.6
31,31,092-ch092,low,high,h051.png,10,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,4,2.6,0.8
32,32,047-jl047,low,low,l011.png,3,1,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,4,1.3,0.6
33,33,042-ll042,high,low,l026.png,29,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,4,1.1,0.6
34,34,049-bm049,med,high,h052.png,20,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,4,1.5,0.6
35,35,052-dr052,med,high,h056.png,22,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,4,1.5,0.6
