,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,48,high,h011.png,2,2,pain,99,2,4,3.525,0.0587
1,1,49,high,h020.png,22,4,pain,99,2,4,3.6375,0.3509
2,2,48,low,l022.png,7,1,pain,99,2,4,0.6212,0.0416
3,3,49,high,h045.png,16,4,pain,99,2,4,0.7708,0.2988
4,4,49,high,h047.png,20,4,pain,99,2,4,3.6375,0.4152
5,5,49,low,l021.png,23,3,pain,99,2,4,0.6227,0.2988
6,6,50,low,l008.png,29,5,pain,99,2,4,0.7708,0.9207
7,7,48,low,l014.png,11,1,pain,99,2,4,2.7604,0.9207
8,8,50,low,l035.png,27,5,pain,99,2,4,3.026,0.3284
9,9,50,low,l046.png,31,5,pain,99,2,4,3.6375,0.5918
10,10,49,high,h007.png,18,4,pain,99,2,4,4.0,0.4376
11,11,49,high,h010.png,12,4,pain,99,2,4,1.6189,0.0871
12,12,50,low,l002.png,25,5,pain,99,2,4,1.6626,0.1941
13,13,50,high,h001.png,24,6,pain,99,2,4,2.575,0.0624
14,14,49,low,l049.png,17,3,pain,99,2,4,2.7604,0.2049
15,15,48,high,h013.png,10,2,pain,99,2,4,3.525,1.7111
16,16,48,low,l016.png,3,1,pain,99,2,4,0.7708,0.1941
17,17,48,high,h055.png,0,2,pain,99,2,4,1.8493,0.2049
18,18,48,high,h054.png,8,2,pain,99,2,4,4.0,0.3284
19,19,48,low,l036.png,9,1,pain,99,2,4,4.0,0.1611
20,20,50,low,l041.png,35,5,pain,99,2,4,3.6375,0.0624
21,21,48,high,h040.png,6,2,pain,99,2,4,1.4007,0.0416
22,22,50,high,h049.png,26,6,pain,99,2,4,4.0,0.714
23,23,50,low,l042.png,33,5,pain,99,2,4,2.7604,0.391
24,24,49,low,l030.png,19,3,pain,99,2,4,0.2556,0.8533
25,25,48,low,l043.png,5,1,pain,99,2,4,4.0,0.0416
26,26,49,low,l013.png,13,3,pain,99,2,4,1.383,0.9466
27,27,50,high,h037.png,28,6,pain,99,2,4,3.026,0.0871
28,28,49,low,l033.png,15,3,pain,99,2,4,3.5084,0.1941
29,29,50,high,h043.png,34,6,pain,99,2,4,1.4007,2.0
30,30,50,high,h016.png,30,6,pain,99,2,4,3.2736,2.0
31,31,49,low,l052.png,21,3,pain,99,2,4,4.0,0.0587
32,32,50,high,h032.png,32,6,pain,99,2,4,0.7708,0.6012
33,33,48,low,l026.png,1,1,pain,99,2,4,4.0,0.1275
34,34,48,high,h051.png,4,2,pain,99,2,4,0.1864,0.9466
35,35,49,high,h005.png,14,4,pain,99,2,4,1.8493,0.4376
