,trial_order,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,low,l028.png,27,5,pain,99,2,5,2.9,0.0
1,1,50,high,h043.png,34,6,pain,99,2,5,1.8,0.0
2,2,50,high,h024.png,28,6,pain,99,2,5,1.3,0.0
3,3,48,low,l005.png,9,1,pain,99,2,5,2.4,0.0
4,4,49,low,l048.png,23,3,pain,99,2,5,1.2,0.0
5,5,48,high,h051.png,2,2,pain,99,2,5,1.6,0.0
6,6,50,low,l051.png,31,5,pain,99,2,5,1.8,0.0
7,7,49,high,h013.png,14,4,pain,99,2,5,3.4,0.0
8,8,50,low,l006.png,35,5,pain,99,2,5,1.5,0.0
9,9,48,high,h016.png,0,2,pain,99,2,5,1.9,0.0
10,10,48,low,l049.png,11,1,pain,99,2,5,1.6,0.0
11,11,48,high,h026.png,4,2,pain,99,2,5,1.5,0.0
12,12,50,low,l004.png,29,5,pain,99,2,5,2.9,0.0
13,13,49,low,l029.png,15,3,pain,99,2,5,2.0,0.0
14,14,49,high,h014.png,18,4,pain,99,2,5,1.8,0.0
15,15,50,high,h011.png,32,6,pain,99,2,5,2.2,0.0
16,16,49,low,l010.png,21,3,pain,99,2,5,1.4,0.0
17,17,49,low,l042.png,13,3,pain,99,2,5,1.5,0.0
18,18,49,low,l020.png,17,3,pain,99,2,5,2.1,0.0
19,19,48,low,l043.png,3,1,pain,99,2,5,1.2,0.0
20,20,50,low,l035.png,33,5,pain,99,2,5,1.2,0.0
21,21,49,high,h027.png,12,4,pain,99,2,5,1.6,0.0
22,22,48,high,h020.png,10,2,pain,99,2,5,1.7,0.0
23,23,48,low,l052.png,7,1,pain,99,2,5,2.7,0.0
24,24,49,high,h038.png,16,4,pain,99,2,5,1.3,0.0
25,25,48,low,l039.png,1,1,pain,99,2,5,2.8,0.0
26,26,49,high,h033.png,20,4,pain,99,2,5,2.9,0.0
27,27,50,low,l036.png,25,5,pain,99,2,5,4.0,0.0
28,28,49,low,l027.png,19,3,pain,99,2,5,1.6,0.0
29,29,50,high,h022.png,30,6,pain,99,2,5,2.0,0.0
30,30,48,low,l050.png,5,1,pain,99,2,5,2.4,0.0
31,31,50,high,h048.png,24,6,pain,99,2,5,2.0,0.0
32,32,50,high,h029.png,26,6,pain,99,2,5,2.7,0.0
33,33,48,high,h050.png,6,2,pain,99,2,5,1.6,0.0
34,34,49,high,h044.png,22,4,pain,99,2,5,1.1,0.0
35,35,48,high,h055.png,8,2,pain,99,2,5,2.2,0.0
