,trial_order,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,48,low,l023.png,3,1,pain,99,1,3,1.9,2.4
1,1,50,low,l046.png,33,5,pain,99,1,3,1.9,1.7
2,2,50,high,h014.png,34,6,pain,99,1,3,1.1,0.7
3,3,48,high,h001.png,8,2,pain,99,1,3,4.1,0.6
4,4,49,low,l012.png,17,3,pain,99,1,3,1.3,0.8
5,5,48,low,l021.png,5,1,pain,99,1,3,3.5,0.8
6,6,49,high,h027.png,14,4,pain,99,1,3,1.3,0.6
7,7,50,low,l049.png,29,5,pain,99,1,3,4.1,1.4
8,8,49,low,l042.png,21,3,pain,99,1,3,1.9,0.8
9,9,48,low,l025.png,11,1,pain,99,1,3,1.3,0.5
10,10,49,high,h011.png,22,4,pain,99,1,3,3.2,0.6
11,11,48,high,h023.png,4,2,pain,99,1,3,2.6,1.4
12,12,49,low,l005.png,19,3,pain,99,1,3,3.8,0.7
13,13,50,low,l011.png,25,5,pain,99,1,3,1.3,1.0
14,14,49,high,h050.png,20,4,pain,99,1,3,1.3,0.5
15,15,49,low,l038.png,23,3,pain,99,1,3,1.4,0.8
16,16,50,low,l032.png,27,5,pain,99,1,3,1.7,0.7
17,17,49,high,h006.png,18,4,pain,99,1,3,1.6,1.7
18,18,50,low,l052.png,35,5,pain,99,1,3,1.5,0.8
19,19,48,high,h034.png,2,2,pain,99,1,3,2.3,1.4
20,20,48,high,h026.png,6,2,pain,99,1,3,1.9,0.7
21,21,48,low,l002.png,9,1,pain,99,1,3,1.9,1.9
22,22,49,high,h031.png,12,4,pain,99,1,3,1.6,0.8
23,23,49,low,l018.png,15,3,pain,99,1,3,1.3,0.7
24,24,48,low,l007.png,7,1,pain,99,1,3,1.7,2.4
25,25,50,high,h047.png,24,6,pain,99,1,3,2.3,0.6
26,26,50,high,h053.png,32,6,pain,99,1,3,1.4,0.8
27,27,48,high,h010.png,0,2,pain,99,1,3,1.5,0.7
28,28,48,high,h024.png,10,2,pain,99,1,3,1.3,0.6
29,29,50,low,l017.png,31,5,pain,99,1,3,2.7,1.7
30,30,49,low,l040.png,13,3,pain,99,1,3,2.2,0.6
31,31,50,high,h041.png,28,6,pain,99,1,3,1.6,0.8
32,32,49,high,h015.png,16,4,pain,99,1,3,1.4,1.1
33,33,50,high,h003.png,30,6,pain,99,1,3,1.6,1.6
34,34,50,high,h004.png,26,6,pain,99,1,3,2.4,0.8
35,35,48,low,l014.png,1,1,pain,99,1,3,2.6,0.5
