,trial_order,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,106-nm106,high,low,l004.png,31,5,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,4,3.5,0.0
1,1,120-kz120,med,low,l002.png,17,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4,4.0,0.0
2,2,097-gf097,low,high,h007.png,6,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,4,1.2,0.0
3,3,064-ak064,high,high,h015.png,28,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,4,1.4,0.0
4,4,097-gf097,med,low,l016.png,15,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,4,2.3,0.0
5,5,115-jy115,med,high,h038.png,18,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,4,1.3,0.0
6,6,043-jh043,low,high,h011.png,10,2,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,4,2.0,0.0
7,7,048-aa048,med,high,h005.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,4,1.6,0.0
8,8,120-kz120,low,low,l015.png,9,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4,1.3,0.0
9,9,121-vw121,high,low,l010.png,33,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,4,1.3,0.0
10,10,124-dn124,med,high,h010.png,16,4,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,4,1.4,0.0
11,11,109-ib109,low,high,h039.png,8,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,4,2.3,0.0
12,12,109-ib109,med,high,h028.png,22,4,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,4,4.0,0.0
13,13,043-jh043,high,low,l012.png,29,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,4,2.3,0.0
14,14,121-vw121,low,high,h006.png,0,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,4,2.2,0.0
15,15,042-ll042,high,low,l007.png,25,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,4,1.3,0.0
16,16,064-ak064,med,low,l013.png,23,3,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,4,1.5,0.0
17,17,066-mg066,low,low,l029.png,5,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,4,2.0,0.0
18,18,106-nm106,low,high,h012.png,2,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,4,1.4,0.0
19,19,064-ak064,low,low,l049.png,1,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,4,2.1,0.0
20,20,124-dn124,low,low,l014.png,11,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,4,3.4,0.0
21,21,115-jy115,high,high,h029.png,24,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,4,1.4,0.0
22,22,048-aa048,high,high,h016.png,34,6,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,4,2.4,0.0
23,23,066-mg066,high,low,l006.png,27,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,4,2.3,0.0
24,24,048-aa048,low,low,l048.png,3,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,4,1.3,0.0
25,25,042-ll042,med,low,l003.png,19,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,4,1.6,0.0
26,26,066-mg066,med,high,h014.png,20,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,4,2.0,0.0
27,27,106-nm106,med,low,l028.png,13,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,4,2.4,0.0
28,28,097-gf097,high,high,h003.png,30,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,4,2.3,0.0
29,29,042-ll042,low,high,h013.png,4,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,4,1.7,0.0
30,30,120-kz120,high,high,h017.png,32,6,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4,1.6,0.0
31,31,124-dn124,high,high,h001.png,26,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,4,1.5,0.0
32,32,115-jy115,low,low,l001.png,7,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,4,1.8,0.0
33,33,121-vw121,med,high,h004.png,14,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,4,2.5,0.0
34,34,109-ib109,high,low,l038.png,35,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,4,1.2,0.0
35,35,043-jh043,med,low,l017.png,21,3,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,4,1.6,0.0
