,trial_order,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,48,high,h023.png,4,2,pain,99,1,4,2.6,0.5
1,1,49,low,l040.png,13,3,pain,99,1,4,1.3,0.6
2,2,50,high,h041.png,28,6,pain,99,1,4,2.0,0.6
3,3,48,low,l023.png,3,1,pain,99,1,4,2.3,1.9
4,4,49,high,h050.png,20,4,pain,99,1,4,1.0,2.2
5,5,50,high,h047.png,24,6,pain,99,1,4,1.9,2.3
6,6,50,low,l046.png,33,5,pain,99,1,4,1.3,0.6
7,7,50,high,h014.png,34,6,pain,99,1,4,1.5,0.6
8,8,50,high,h053.png,32,6,pain,99,1,4,1.6,0.7
9,9,48,low,l014.png,1,1,pain,99,1,4,1.4,2.3
10,10,49,high,h027.png,14,4,pain,99,1,4,2.1,0.7
11,11,49,high,h015.png,16,4,pain,99,1,4,5.8,1.3
12,12,48,low,l025.png,11,1,pain,99,1,4,1.6,0.6
13,13,50,low,l017.png,31,5,pain,99,1,4,1.1,0.7
14,14,50,low,l032.png,27,5,pain,99,1,4,2.2,0.6
15,15,50,low,l049.png,29,5,pain,99,1,4,2.9,2.4
16,16,50,high,h003.png,30,6,pain,99,1,4,1.2,0.9
17,17,50,low,l011.png,25,5,pain,99,1,4,1.5,0.6
18,18,48,low,l002.png,9,1,pain,99,1,4,2.8,0.6
19,19,48,high,h024.png,10,2,pain,99,1,4,1.1,1.0
20,20,49,low,l005.png,19,3,pain,99,1,4,1.1,0.7
21,21,48,high,h010.png,0,2,pain,99,1,4,1.1,0.6
22,22,49,high,h006.png,18,4,pain,99,1,4,1.5,0.7
23,23,50,high,h004.png,26,6,pain,99,1,4,2.6,0.5
24,24,50,low,l052.png,35,5,pain,99,1,4,2.8,0.8
25,25,48,low,l021.png,5,1,pain,99,1,4,1.2,2.2
26,26,49,high,h011.png,22,4,pain,99,1,4,2.0,0.6
27,27,49,low,l038.png,23,3,pain,99,1,4,1.3,0.7
28,28,48,low,l007.png,7,1,pain,99,1,4,1.7,0.7
29,29,49,high,h031.png,12,4,pain,99,1,4,1.1,1.3
30,30,48,high,h026.png,6,2,pain,99,1,4,3.3,0.8
31,31,49,low,l042.png,21,3,pain,99,1,4,5.8,0.7
32,32,49,low,l012.png,17,3,pain,99,1,4,1.5,2.4
33,33,49,low,l018.png,15,3,pain,99,1,4,3.7,0.6
34,34,48,high,h001.png,8,2,pain,99,1,4,1.2,0.6
35,35,48,high,h034.png,2,2,pain,99,1,4,1.3,0.6
