,trial_order,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,27,50,same,low,l030.png,5,1,cognitive,99,1,27_50.jpg,1,1.0,0.5
1,1,16,100,different,low,l052.png,23,3,cognitive,99,1,16_100_R.jpg,1,1.7,3.1
2,2,40,150,same,low,l017.png,27,5,cognitive,99,1,40_150.jpg,1,2.4,0.8
3,3,27,100,different,low,l040.png,21,3,cognitive,99,1,27_100_R.jpg,1,0.9,0.6
4,4,19,50,same,low,l016.png,3,1,cognitive,99,1,19_50.jpg,1,1.1,0.7
5,5,34,150,different,high,h042.png,32,6,cognitive,99,1,34_150_R.jpg,1,1.0,0.6
6,6,21,50,same,low,l027.png,1,1,cognitive,99,1,21_50.jpg,1,2.9,0.6
7,7,21,100,same,low,l055.png,13,3,cognitive,99,1,21_100.jpg,1,2.6,0.5
8,8,14,50,different,high,h010.png,10,2,cognitive,99,1,14_50_R.jpg,1,1.1,0.7
9,9,23,50,different,low,l014.png,9,1,cognitive,99,1,23_50_R.jpg,1,2.6,0.6
10,10,34,50,same,high,h045.png,2,2,cognitive,99,1,34_50.jpg,1,1.1,0.9
11,11,19,150,different,high,h011.png,30,6,cognitive,99,1,19_150_R.jpg,1,1.5,2.6
12,12,31,50,different,high,h030.png,8,2,cognitive,99,1,31_50_R.jpg,1,1.0,0.8
13,13,28,100,same,high,h050.png,16,4,cognitive,99,1,28_100.jpg,1,1.5,2.8
14,14,38,100,same,low,l013.png,15,3,cognitive,99,1,38_100.jpg,1,2.4,0.7
15,15,38,50,different,low,l009.png,11,1,cognitive,99,1,38_50_R.jpg,1,3.3,0.6
16,16,21,150,different,low,l023.png,33,5,cognitive,99,1,21_150_R.jpg,1,1.0,0.5
17,17,23,100,different,high,h022.png,22,4,cognitive,99,1,23_100_R.jpg,1,1.1,0.7
18,18,27,150,same,high,h021.png,26,6,cognitive,99,1,27_150.jpg,1,2.3,0.5
19,19,38,150,different,low,l045.png,35,5,cognitive,99,1,38_150_R.jpg,1,1.6,0.5
20,20,14,100,same,high,h046.png,14,4,cognitive,99,1,14_100.jpg,1,1.4,0.5
21,21,16,50,same,high,h004.png,4,2,cognitive,99,1,16_50.jpg,1,4.9,0.9
22,22,31,150,different,low,l029.png,31,5,cognitive,99,1,31_150_R.jpg,1,3.3,0.5
23,23,28,150,same,high,h002.png,24,6,cognitive,99,1,28_150.jpg,1,1.6,0.5
24,24,34,100,different,high,h025.png,20,4,cognitive,99,1,34_100_R.jpg,1,0.9,0.7
25,25,16,150,different,high,h001.png,34,6,cognitive,99,1,16_150_R.jpg,1,3.0,0.6
26,26,19,100,different,high,h029.png,18,4,cognitive,99,1,19_100_R.jpg,1,2.8,0.5
27,27,5,150,same,high,h026.png,28,6,cognitive,99,1,5_150.jpg,1,3.7,1.6
28,28,31,100,same,high,h007.png,12,4,cognitive,99,1,31_100.jpg,1,1.6,2.9
29,29,5,50,different,low,l042.png,7,1,cognitive,99,1,5_50_R.jpg,1,1.0,0.8
30,30,23,150,same,low,l028.png,25,5,cognitive,99,1,23_150.jpg,1,1.5,2.8
31,31,40,50,different,high,h041.png,6,2,cognitive,99,1,40_50_R.jpg,1,4.2,1.8
32,32,14,150,same,low,l010.png,29,5,cognitive,99,1,14_150.jpg,1,1.5,0.6
33,33,40,100,same,low,l039.png,17,3,cognitive,99,1,40_100.jpg,1,3.0,0.5
34,34,28,50,same,high,h017.png,0,2,cognitive,99,1,28_50.jpg,1,1.8,0.6
35,35,5,100,different,low,l048.png,19,3,cognitive,99,1,5_100_R.jpg,1,1.4,0.7
