,trial_order,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,106-nm106,high,low,l007.png,25,5,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,3,3.6,0.0
1,1,049-bm049,high,high,h003.png,30,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,3,4.1,0.0
2,2,097-gf097,high,low,l038.png,35,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,3,1.1,0.0
3,3,121-vw121,med,high,h028.png,22,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,3,1.3,0.0
4,4,066-mg066,high,high,h029.png,24,6,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,3,2.4,0.0
5,5,106-nm106,med,low,l013.png,23,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,3,1.4,0.0
6,6,106-nm106,low,low,l048.png,3,1,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,3,2.1,0.0
7,7,097-gf097,med,low,l017.png,21,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,3,1.6,0.0
8,8,047-jl047,low,high,h012.png,2,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,3,1.3,0.0
9,9,080-bn080,med,low,l016.png,15,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,3,1.4,0.0
10,10,097-gf097,low,high,h011.png,10,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,3,1.3,0.0
11,11,123-jh123,low,low,l029.png,5,1,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,3,2.3,0.0
12,12,101-mg101,med,high,h038.png,18,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,3,4.0,0.0
13,13,121-vw121,low,low,l014.png,11,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,3,2.2,0.0
14,14,096-bg096,med,high,h004.png,14,4,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,3,2.3,0.0
15,15,047-jl047,high,high,h001.png,26,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,3,1.2,0.0
16,16,066-mg066,low,high,h039.png,8,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,3,1.6,0.0
17,17,049-bm049,low,high,h013.png,4,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,3,2.0,0.0
18,18,096-bg096,low,low,l015.png,9,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,3,1.4,0.0
19,19,092-ch092,high,high,h016.png,34,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,3,2.0,0.0
20,20,047-jl047,med,high,h005.png,12,4,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,3,3.3,0.0
21,21,123-jh123,high,low,l006.png,27,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,3,1.4,0.0
22,22,103-jk103,high,low,l012.png,29,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,3,2.3,0.0
23,23,121-vw121,high,low,l004.png,31,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,3,2.3,0.0
24,24,049-bm049,med,high,h014.png,20,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,3,1.3,0.0
25,25,092-ch092,med,low,l003.png,19,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,3,1.5,0.0
26,26,066-mg066,med,high,h010.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,3,2.0,0.0
27,27,096-bg096,high,high,h017.png,32,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,3,2.4,0.0
28,28,080-bn080,low,high,h007.png,6,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,3,2.4,0.0
29,29,123-jh123,med,low,l028.png,13,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,3,1.7,0.0
30,30,101-mg101,low,low,l049.png,1,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,3,1.6,0.0
31,31,092-ch092,low,low,l001.png,7,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,3,1.5,0.0
32,32,101-mg101,high,high,h015.png,28,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,3,1.8,0.0
33,33,103-jk103,low,high,h006.png,0,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,3,2.5,0.0
34,34,080-bn080,high,low,l010.png,33,5,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,3,1.2,0.0
35,35,103-jk103,med,low,l002.png,17,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,3,1.6,0.0
