,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,103-jk103,high,high,h032.png,24,6,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,1,1.607,0.3185
1,1,103-jk103,med,high,h001.png,14,4,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,1,3.2314,0.5229
2,2,115-jy115,med,low,l013.png,21,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,1,1.6716,1.2017
3,3,048-aa048,high,low,h005.png,35,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,1,2.8735,0.0325
4,4,095-tv095,low,low,l003.png,1,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,1,2.8542,0.5617
5,5,108-th108,high,low,h002.png,33,5,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,1,4.0,0.3759
6,6,043-jh043,high,low,h042.png,25,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,1,1.9652,1.5333
7,7,043-jh043,low,low,l055.png,3,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,1,2.8735,0.5523
8,8,108-th108,low,low,h011.png,11,1,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,1,2.9229,0.0563
9,9,047-jl047,high,high,h041.png,30,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,1,3.5882,0.1292
10,10,064-ak064,med,low,h018.png,19,3,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,1,2.2204,2.0
11,11,109-ib109,med,low,l036.png,15,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,1,0.0396,0.2654
12,12,106-nm106,low,high,h024.png,4,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,1,2.8735,0.4249
13,13,109-ib109,low,high,h017.png,2,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,1,3.2181,0.0755
14,14,048-aa048,low,high,h042.png,10,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,1,4.0,0.1223
15,15,108-th108,med,low,h035.png,17,3,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,1,4.0,0.1292
16,16,109-ib109,high,low,l002.png,31,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,1,4.0,2.0
17,17,106-nm106,high,high,h006.png,26,6,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,1,2.5979,0.127
18,18,080-bn080,low,low,l008.png,5,1,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,1,4.0,0.8366
19,19,103-jk103,low,low,l054.png,7,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,1,1.7399,0.0976
20,20,048-aa048,med,high,h031.png,20,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,1,3.0646,0.1223
21,21,066-mg066,med,high,h019.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,1,1.3528,0.0976
22,22,106-nm106,med,high,h051.png,22,4,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,1,2.4979,0.0976
23,23,047-jl047,low,high,h033.png,8,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,1,1.28,0.0325
24,24,115-jy115,low,low,l050.png,9,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,1,2.8542,0.127
25,25,080-bn080,med,low,l031.png,13,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,1,4.0,0.4249
26,26,043-jh043,med,high,h027.png,12,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,1,1.5607,0.0409
27,27,064-ak064,low,high,h039.png,6,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,1,0.1018,0.2654
28,28,066-mg066,low,high,h043.png,0,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,1,4.0,0.0563
29,29,080-bn080,high,high,h003.png,32,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,1,0.9203,1.1965
30,30,095-tv095,med,high,h023.png,18,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,1,3.0772,0.0976
31,31,066-mg066,high,low,h036.png,29,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,1,4.0,0.1292
32,32,047-jl047,med,low,l025.png,23,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,1,0.8933,0.1923
33,33,064-ak064,high,high,h015.png,28,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,1,0.695,0.1343
34,34,095-tv095,high,low,h033.png,27,5,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,1,3.0646,0.6236
35,35,115-jy115,high,high,h045.png,34,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,1,1.3528,0.025
