,trial_order,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,14,50,different,high,h010.png,10,2,cognitive,99,1,14_50_R.jpg,3,2.6,2.0
1,1,21,50,same,low,l027.png,1,1,cognitive,99,1,21_50.jpg,3,1.3,0.6
2,2,28,150,same,high,h002.png,24,6,cognitive,99,1,28_150.jpg,3,2.0,0.6
3,3,27,100,different,low,l040.png,21,3,cognitive,99,1,27_100_R.jpg,3,2.3,1.9
4,4,40,100,same,low,l039.png,17,3,cognitive,99,1,40_100.jpg,3,1.0,2.2
5,5,14,150,same,low,l010.png,29,5,cognitive,99,1,14_150.jpg,3,2.0,2.3
6,6,5,100,different,low,l048.png,19,3,cognitive,99,1,5_100_R.jpg,3,1.3,0.6
7,7,19,100,different,high,h029.png,18,4,cognitive,99,1,19_100_R.jpg,3,1.5,0.6
8,8,16,50,same,high,h004.png,4,2,cognitive,99,1,16_50.jpg,3,1.6,0.7
9,9,40,50,different,high,h041.png,6,2,cognitive,99,1,40_50_R.jpg,3,1.4,0.8
10,10,5,50,different,low,l042.png,7,1,cognitive,99,1,5_50_R.jpg,3,2.1,0.7
11,11,38,100,same,low,l013.png,15,3,cognitive,99,1,38_100.jpg,3,5.8,1.3
12,12,27,150,same,high,h021.png,26,6,cognitive,99,1,27_150.jpg,3,1.6,0.6
13,13,21,100,same,low,l055.png,13,3,cognitive,99,1,21_100.jpg,3,1.1,0.7
14,14,16,150,different,high,h001.png,34,6,cognitive,99,1,16_150_R.jpg,3,2.1,2.1
15,15,5,150,same,high,h026.png,28,6,cognitive,99,1,5_150.jpg,3,2.9,0.9
16,16,34,50,same,high,h045.png,2,2,cognitive,99,1,34_50.jpg,3,1.2,0.9
17,17,38,50,different,low,l009.png,11,1,cognitive,99,1,38_50_R.jpg,3,1.5,0.6
18,18,34,150,different,high,h042.png,32,6,cognitive,99,1,34_150_R.jpg,3,2.8,0.6
19,19,28,100,same,high,h050.png,16,4,cognitive,99,1,28_100.jpg,3,1.1,1.0
20,20,34,100,different,high,h025.png,20,4,cognitive,99,1,34_100_R.jpg,3,1.1,0.7
21,21,31,50,different,high,h030.png,8,2,cognitive,99,1,31_50_R.jpg,3,1.1,2.1
22,22,31,100,same,high,h007.png,12,4,cognitive,99,1,31_100.jpg,3,1.5,0.7
23,23,23,100,different,high,h022.png,22,4,cognitive,99,1,23_100_R.jpg,3,2.6,0.5
24,24,19,150,different,high,h011.png,30,6,cognitive,99,1,19_150_R.jpg,3,2.9,0.8
25,25,23,150,same,low,l028.png,25,5,cognitive,99,1,23_150.jpg,3,1.2,2.2
26,26,28,50,same,high,h017.png,0,2,cognitive,99,1,28_50.jpg,3,1.9,0.6
27,27,21,150,different,low,l023.png,33,5,cognitive,99,1,21_150_R.jpg,3,1.3,0.7
28,28,16,100,different,low,l052.png,23,3,cognitive,99,1,16_100_R.jpg,3,1.7,0.7
29,29,14,100,same,high,h046.png,14,4,cognitive,99,1,14_100.jpg,3,1.1,1.3
30,30,40,150,same,low,l017.png,27,5,cognitive,99,1,40_150.jpg,3,3.3,0.8
31,31,38,150,different,low,l045.png,35,5,cognitive,99,1,38_150_R.jpg,3,5.8,0.7
32,32,23,50,different,low,l014.png,9,1,cognitive,99,1,23_50_R.jpg,3,1.5,0.9
33,33,27,50,same,low,l030.png,5,1,cognitive,99,1,27_50.jpg,3,3.7,0.6
34,34,19,50,same,low,l016.png,3,1,cognitive,99,1,19_50.jpg,3,1.2,0.6
35,35,31,150,different,low,l029.png,31,5,cognitive,99,1,31_150_R.jpg,3,1.3,0.6
