Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ISI4	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
1.5539	1.0000	6.8988	16.8657	10.0000	1.5539	0.0000	1.8988	0.9669	1.0000	4.0000	9.0000	4.0000	
23.4933	23.4196	27.9938	39.0161	12.0000	1.0738	0.0000	0.5742	2.0223	1.0000	4.0000	9.0000	4.0000	
45.7998	45.0899	50.5388	60.8369	15.0000	1.7099	0.0000	1.4490	1.2981	1.0000	4.0000	9.0000	4.0000	
71.2435	67.5468	72.6394	82.1714	11.0000	4.6967	0.0000	1.0926	0.5320	1.0000	4.0000	9.0000	4.0000	
92.8167	91.8680	98.2755	108.1448	13.0000	1.9486	0.0000	2.4074	0.8694	1.0000	4.0000	9.0000	4.0000	
116.9403	115.0934	119.9173	130.4707	4.0000	2.8469	0.0000	0.8239	1.5534	1.0000	4.0000	9.0000	4.0000	
138.4059	138.3176	143.6645	153.5190	11.0000	1.0884	0.0000	1.3469	0.8545	1.0000	4.0000	9.0000	4.0000	
159.6705	159.6073	164.3402	174.3953	4.0000	1.0632	0.0000	0.7329	1.0550	1.0000	4.0000	9.0000	4.0000	
183.5327	180.4584	187.0247	196.8069	15.0000	4.0743	0.0000	2.5662	0.7822	1.0000	4.0000	9.0000	4.0000	
206.5888	205.8811	210.6511	221.5062	13.0000	1.7076	0.0000	0.7699	1.8551	1.0000	4.0000	9.0000	4.0000	
228.5675	228.2138	234.0411	243.8332	12.0000	1.3536	0.0000	1.8272	0.7921	1.0000	4.0000	9.0000	4.0000	
251.3411	250.1868	255.2650	265.9053	12.0000	2.1543	0.0000	1.0782	1.6403	1.0000	4.0000	9.0000	4.0000	
273.1227	273.0596	277.9671	287.8168	10.0000	1.0631	0.0000	0.9076	0.8496	1.0000	4.0000	9.0000	4.0000	
295.2742	293.8799	299.1978	310.3630	5.0000	2.3943	0.0000	1.3178	2.1652	1.0000	4.0000	9.0000	4.0000	
321.5548	317.7573	322.2914	332.1489	10.0000	4.7975	0.0000	0.5341	0.8575	1.0000	4.0000	9.0000	4.0000	
342.0024	341.9464	346.8321	357.0906	6.0000	1.0560	0.0000	0.8857	1.2585	1.0000	4.0000	9.0000	4.0000	
363.9972	363.1466	367.7116	378.3884	16.0000	1.8506	0.0000	0.5650	1.6768	1.0000	4.0000	9.0000	4.0000	
386.4211	385.2390	391.0657	401.3323	7.0000	2.1821	0.0000	1.8266	1.2666	1.0000	4.0000	9.0000	4.0000	
408.5844	408.5143	413.0876	423.6087	10.0000	1.0700	0.0000	0.5733	1.5211	1.0000	4.0000	9.0000	4.0000	
429.8993	429.6787	434.4746	445.7874	12.0000	1.2205	0.0000	0.7959	2.3128	1.0000	4.0000	9.0000	4.0000	
452.2937	452.0080	457.0064	467.4185	2.0000	1.2857	0.0000	0.9984	1.4121	1.0000	4.0000	9.0000	4.0000	
474.6479	473.7042	479.3901	489.3668	8.0000	1.9436	0.0000	1.6858	0.9768	1.0000	4.0000	9.0000	4.0000	
496.3998	496.3105	501.1046	515.0253	16.0000	1.0893	0.0000	0.7941	4.9207	1.0000	4.0000	9.0000	4.0000	
521.4311	521.1146	525.6890	535.8012	11.0000	1.3164	0.0000	0.5744	1.1122	1.0000	4.0000	9.0000	4.0000	
542.1453	542.1177	546.9527	559.9557	17.0000	1.0276	0.0000	0.8350	4.0030	1.0000	4.0000	9.0000	4.0000	
567.4995	565.9833	570.9178	580.5179	9.0000	2.5162	0.0000	0.9344	0.6002	1.0000	4.0000	9.0000	4.0000	
