Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	5.7453	16.1818	32.2547	3.0000	4.7453	6.4365	7.0729	0.6081	1.0000	4.0000	9.0000	4.0000	
36.8628	43.5346	52.0669	68.1397	5.0000	5.6718	4.5322	7.0729	4.9987	1.0000	4.0000	9.0000	4.0000	
77.1385	83.8103	88.3242	97.8707	1.0000	5.6718	0.5139	0.5465	0.6988	1.0000	4.0000	9.0000	4.0000	
102.5695	104.0826	108.8730	124.6979	1.0000	0.5131	0.7904	6.8249	4.0954	1.0000	4.0000	9.0000	4.0000	
132.7932	139.4651	147.1612	159.1757	4.0000	5.6718	3.6962	3.0144	0.6988	1.0000	4.0000	9.0000	4.0000	
163.8745	165.8832	170.3971	179.9436	5.0000	1.0087	0.5139	0.5465	0.6988	1.0000	4.0000	9.0000	4.0000	
184.6424	186.6285	197.5996	210.1592	4.0000	0.9861	6.9711	3.5596	3.1467	1.0000	4.0000	9.0000	4.0000	
217.3060	219.8375	231.8472	242.9108	3.0000	1.5315	8.0097	2.0636	4.0954	1.0000	4.0000	9.0000	4.0000	
251.0062	257.6780	269.6877	279.5332	2.0000	5.6718	8.0097	0.8455	0.6988	1.0000	4.0000	9.0000	4.0000	
284.2320	287.6475	302.4025	314.9621	2.0000	2.4155	10.7550	3.5596	1.5395	1.0000	4.0000	9.0000	4.0000	
320.5016	326.2469	331.6262	341.1587	6.0000	4.7453	1.3793	0.5325	7.7945	1.0000	4.0000	9.0000	4.0000	
352.9531	357.1284	371.8834	387.7083	6.0000	3.1753	10.7550	6.8249	3.1467	1.0000	4.0000	9.0000	4.0000	

