Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	2.9144	7.9839	21.3930	6.0000	1.9144	1.0695	4.4092	7.5965	1.0000	4.0000	9.0000	4.0000	
32.9895	35.9039	48.1134	58.2749	3.0000	1.9144	8.2095	1.1615	7.5965	1.0000	4.0000	9.0000	4.0000	
69.8714	75.9035	82.2074	92.8080	6.0000	5.0321	2.3039	1.6006	5.0651	1.0000	4.0000	9.0000	4.0000	
101.8731	104.7875	109.8569	123.4558	2.0000	1.9144	1.0695	4.5988	1.0001	1.0000	4.0000	9.0000	4.0000	
128.4558	130.2944	136.5984	150.1972	4.0000	0.8386	2.3039	4.5988	3.7409	1.0000	4.0000	9.0000	4.0000	
157.9381	163.5388	172.0109	183.7832	5.0000	4.6006	4.4721	2.7723	5.0651	1.0000	4.0000	9.0000	4.0000	
192.8483	198.4489	203.5184	214.4370	3.0000	4.6006	1.0695	1.9186	3.7409	1.0000	4.0000	9.0000	4.0000	
222.1779	225.5223	232.1725	244.9818	4.0000	2.3444	2.6502	3.8093	1.0001	1.0000	4.0000	9.0000	4.0000	
249.9818	252.8962	259.2001	269.4232	1.0000	1.9144	2.3039	1.2231	6.0693	1.0000	4.0000	9.0000	4.0000	
279.4925	284.3063	288.8767	299.0382	5.0000	3.8138	0.5704	1.1615	1.7746	1.0000	4.0000	9.0000	4.0000	
304.8128	310.4134	321.3391	340.7999	2.0000	4.6006	6.9257	10.4608	5.9101	1.0000	4.0000	9.0000	4.0000	
350.7100	356.3106	361.1539	380.6147	1.0000	4.6006	0.8433	10.4608	1.0001	1.0000	4.0000	9.0000	4.0000	

