Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.0646	7.7425	18.5356	1.0000	2.0646	0.6779	1.7931	4.3590	1.0000	4.0000	9.0000	4.0000	
26.8947	34.3734	45.2745	60.3417	3.0000	6.4788	6.9011	6.0672	9.8622	1.0000	4.0000	9.0000	4.0000	
74.2040	81.6827	91.7184	109.1521	6.0000	6.4788	6.0356	8.4337	6.3439	1.0000	4.0000	9.0000	4.0000	
119.4959	122.0779	141.0717	158.3806	1.0000	1.5820	14.9937	8.3089	10.8412	1.0000	4.0000	9.0000	4.0000	
173.2218	176.4758	187.6690	207.2573	4.0000	2.2540	7.1932	10.5883	4.3443	1.0000	4.0000	9.0000	4.0000	
215.6015	218.2251	226.1897	246.6237	2.0000	1.6235	3.9647	11.4340	9.8622	1.0000	4.0000	9.0000	4.0000	
260.4859	266.1453	275.1573	284.7849	4.0000	4.6594	5.0120	0.6276	5.7449	1.0000	4.0000	9.0000	4.0000	
294.5297	300.1892	307.0375	317.8209	6.0000	4.6594	2.8484	1.7834	2.3557	1.0000	4.0000	9.0000	4.0000	
324.1767	331.6554	342.5565	357.5424	2.0000	6.4788	6.9011	5.9859	4.3443	1.0000	4.0000	9.0000	4.0000	
365.8867	369.7665	379.8021	397.1110	3.0000	2.8798	6.0356	8.3089	4.3443	1.0000	4.0000	9.0000	4.0000	
405.4553	409.5805	427.1787	442.1646	5.0000	3.1252	13.5982	5.9859	10.8412	1.0000	4.0000	9.0000	4.0000	
457.0058	460.2597	466.6163	479.1138	5.0000	2.2540	2.3565	3.4975	4.3590	1.0000	4.0000	9.0000	4.0000	

