Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	5.2919	10.7243	24.6680	2.0000	4.2919	1.4324	4.9437	3.6714	1.0000	4.0000	9.0000	4.0000	
32.3394	34.3005	40.1864	59.1609	4.0000	0.9612	1.8858	9.9745	10.5374	1.0000	4.0000	9.0000	4.0000	
73.6983	77.1849	90.2649	101.5836	1.0000	2.4866	9.0800	2.3187	4.2236	1.0000	4.0000	9.0000	4.0000	
109.8071	113.4059	119.5686	139.5870	2.0000	2.5988	2.1627	11.0184	10.5374	1.0000	4.0000	9.0000	4.0000	
154.1244	160.3304	173.4103	183.3732	4.0000	5.2059	9.0800	0.9629	4.2236	1.0000	4.0000	9.0000	4.0000	
191.5967	198.5095	204.6722	215.5485	3.0000	5.9128	2.1627	1.8763	3.4657	1.0000	4.0000	9.0000	4.0000	
223.0142	226.2221	239.3338	249.2967	3.0000	2.2079	9.1117	0.9629	3.7138	1.0000	4.0000	9.0000	4.0000	
257.0104	262.3023	268.1882	278.9560	6.0000	4.2919	1.8858	1.7678	3.7138	1.0000	4.0000	9.0000	4.0000	
286.6698	293.5826	299.0149	309.8913	1.0000	5.9128	1.4324	1.8763	3.7487	1.0000	4.0000	9.0000	4.0000	
317.6400	319.1591	327.1095	337.9859	5.0000	0.5192	3.9504	1.8763	18.3911	1.0000	4.0000	9.0000	4.0000	
360.3770	363.5849	376.6648	390.1309	6.0000	2.2079	9.0800	4.4661	4.1913	1.0000	4.0000	9.0000	4.0000	
398.3222	402.9545	416.0344	435.0089	5.0000	3.6323	9.0800	9.9745	3.6714	1.0000	4.0000	9.0000	4.0000	

