Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.9259	11.9384	32.3830	2.0000	2.9259	4.0125	11.4447	10.1416	1.0000	4.0000	9.0000	4.0000	
46.5246	49.8875	58.9116	69.2144	3.0000	2.3629	5.0241	1.3028	2.8197	1.0000	4.0000	9.0000	4.0000	
76.0341	79.8506	93.9944	104.4624	6.0000	2.8165	10.1438	1.4680	4.1685	1.0000	4.0000	9.0000	4.0000	
112.6309	116.5277	128.2832	138.7512	4.0000	2.8968	7.7556	1.4680	10.6081	1.0000	4.0000	9.0000	4.0000	
153.3593	157.1758	166.1999	186.6445	5.0000	2.8165	5.0241	11.4447	2.8822	1.0000	4.0000	9.0000	4.0000	
193.5267	199.0781	208.1022	228.5469	4.0000	4.5514	5.0241	11.4447	6.8264	1.0000	4.0000	9.0000	4.0000	
239.3733	243.2700	257.4139	267.7167	2.0000	2.8968	10.1438	1.3028	6.8264	1.0000	4.0000	9.0000	4.0000	
278.5431	282.2514	294.3848	311.3853	6.0000	2.7083	8.1334	8.0005	2.7735	1.0000	4.0000	9.0000	4.0000	
318.1588	323.7102	334.4967	354.5737	5.0000	4.5514	6.7866	11.0769	10.6081	1.0000	4.0000	9.0000	4.0000	
369.1818	372.8900	387.0338	397.3367	1.0000	2.7083	10.1438	1.3028	10.6081	1.0000	4.0000	9.0000	4.0000	
411.9448	415.8707	422.2720	432.7400	3.0000	2.9259	2.4013	1.4680	10.1416	1.0000	4.0000	9.0000	4.0000	
446.8816	450.8075	461.7509	484.4779	1.0000	2.9259	6.9434	13.7270	6.8264	1.0000	4.0000	9.0000	4.0000	

