Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.2046	10.7359	29.0428	4.0000	2.2046	3.5313	9.3069	5.2764	1.0000	4.0000	9.0000	4.0000	
38.3192	43.3435	51.5072	68.4571	2.0000	4.0244	4.1637	7.9499	5.2764	1.0000	4.0000	9.0000	4.0000	
77.7335	80.6471	88.1784	100.4479	6.0000	1.9136	3.5313	3.2695	5.2764	1.0000	4.0000	9.0000	4.0000	
109.7243	116.5523	122.5302	132.7835	3.0000	5.8281	1.9779	1.2533	3.0442	1.0000	4.0000	9.0000	4.0000	
139.8278	142.7414	150.9051	163.0089	4.0000	1.9136	4.1637	3.1038	0.8274	1.0000	4.0000	9.0000	4.0000	
167.8363	171.7656	177.7435	188.7726	5.0000	2.9293	1.9779	2.0292	3.1636	1.0000	4.0000	9.0000	4.0000	
195.9363	199.8656	207.7291	218.7583	3.0000	2.9293	3.8635	2.0292	3.1636	1.0000	4.0000	9.0000	4.0000	
225.9220	230.6223	237.6236	249.7274	5.0000	3.7004	3.0013	3.1038	3.0442	1.0000	4.0000	9.0000	4.0000	
256.7717	263.1637	269.1530	283.8063	1.0000	5.3920	1.9893	5.6533	5.2764	1.0000	4.0000	9.0000	4.0000	
293.0827	295.3407	301.3186	313.5881	1.0000	1.2580	1.9779	3.2695	0.5384	1.0000	4.0000	9.0000	4.0000	
318.1266	324.5186	331.0085	345.3355	6.0000	5.3920	2.4899	5.3270	0.8621	1.0000	4.0000	9.0000	4.0000	
350.1976	352.4556	358.4449	372.7719	2.0000	1.2580	1.9893	5.3270	0.8274	1.0000	4.0000	9.0000	4.0000	

