Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	2.4621	9.7714	24.1479	2.0000	1.4621	3.3092	5.3766	8.2181	1.0000	4.0000	9.0000	4.0000	
36.3660	38.8282	45.8870	58.6837	4.0000	1.4621	3.0588	3.7968	3.8220	1.0000	4.0000	9.0000	4.0000	
66.5058	73.8503	80.5704	92.0297	1.0000	6.3446	2.7201	2.4593	3.8220	1.0000	4.0000	9.0000	4.0000	
99.8518	102.1990	112.4439	124.3711	3.0000	1.3472	6.2449	2.9272	0.5901	1.0000	4.0000	9.0000	4.0000	
128.9612	132.2906	137.7213	152.0979	5.0000	2.3294	1.4306	5.3766	8.7626	1.0000	4.0000	9.0000	4.0000	
164.8605	172.2051	182.0120	198.2014	3.0000	6.3446	5.8069	7.1894	3.8220	1.0000	4.0000	9.0000	4.0000	
206.0234	208.0385	232.0385	248.2279	1.0000	1.0150	20.0000	7.1894	9.5301	1.0000	4.0000	9.0000	4.0000	
261.7581	269.1026	274.1644	290.3538	6.0000	6.3446	1.0617	7.1894	4.6302	1.0000	4.0000	9.0000	4.0000	
298.9840	301.4462	325.4462	337.3734	6.0000	1.4621	20.0000	2.9272	9.5301	1.0000	4.0000	9.0000	4.0000	
350.9035	358.2481	362.7586	374.6858	2.0000	6.3446	0.5105	2.9272	15.3362	1.0000	4.0000	9.0000	4.0000	
394.0220	399.4969	406.8061	422.9955	4.0000	4.4748	3.3092	7.1894	1.6850	1.0000	4.0000	9.0000	4.0000	
428.6805	436.0251	443.5752	459.7647	5.0000	6.3446	3.5501	7.1894	3.8220	1.0000	4.0000	9.0000	4.0000	

