Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	6.2328	11.5964	26.7827	6.0000	5.2328	1.3636	6.1863	1.8552	1.0000	4.0000	9.0000	4.0000	
32.6379	36.2638	47.0917	56.6168	5.0000	2.6259	6.8280	0.5250	1.9160	1.0000	4.0000	9.0000	4.0000	
62.5328	66.2203	77.0482	93.9654	4.0000	2.6875	6.8280	7.9172	1.2464	1.0000	4.0000	9.0000	4.0000	
99.2118	102.8377	114.0485	130.2418	2.0000	2.6259	7.2108	7.1933	1.9160	1.0000	4.0000	9.0000	4.0000	
136.1578	141.6651	152.8759	169.7931	1.0000	4.5073	7.2108	7.9172	2.7339	1.0000	4.0000	9.0000	4.0000	
176.5270	181.6278	187.1229	203.3162	3.0000	4.1008	1.4951	7.1933	0.6660	1.0000	4.0000	9.0000	4.0000	
207.9822	213.0829	218.5781	229.4860	6.0000	4.1008	1.4951	1.9080	1.3401	1.0000	4.0000	9.0000	4.0000	
234.8261	239.9269	245.2905	255.3918	2.0000	4.1008	1.3636	1.1013	1.2464	1.0000	4.0000	9.0000	4.0000	
260.6382	266.8710	279.6732	295.8665	1.0000	5.2328	8.8021	7.1933	6.7142	1.0000	4.0000	9.0000	4.0000	
306.5807	311.6814	324.2875	334.4722	5.0000	4.1008	8.6061	1.1846	8.9284	1.0000	4.0000	9.0000	4.0000	
347.4006	353.6334	364.8442	379.4109	4.0000	5.2328	7.2108	5.5667	6.7142	1.0000	4.0000	9.0000	4.0000	
390.1251	396.3580	407.2438	418.1517	3.0000	5.2328	6.8858	1.9080	1.5256	1.0000	4.0000	9.0000	4.0000	

