Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	6.0858	11.1141	31.5163	2.0000	5.0858	1.0283	11.4022	1.4561	1.0000	4.0000	9.0000	4.0000	
36.9724	41.3859	46.4160	63.0770	3.0000	3.4135	1.0301	7.6610	9.6424	1.0000	4.0000	9.0000	4.0000	
76.7194	81.2813	87.5324	116.5324	4.0000	3.5619	2.2510	20.0000	0.9323	1.0000	4.0000	9.0000	4.0000	
121.4646	126.0265	139.2409	149.7558	6.0000	3.5619	9.2144	1.5148	3.5386	1.0000	4.0000	9.0000	4.0000	
157.2944	163.3802	176.5946	196.9968	5.0000	5.0858	9.2144	11.4022	1.0904	1.0000	4.0000	9.0000	4.0000	
202.0872	208.1729	212.8042	222.4720	4.0000	5.0858	0.6312	0.6678	9.6424	1.0000	4.0000	9.0000	4.0000	
236.1144	237.6941	257.1407	267.6390	3.0000	0.5797	15.4466	1.4983	2.0331	1.0000	4.0000	9.0000	4.0000	
273.6721	278.0856	292.4079	321.4079	2.0000	3.4135	10.3223	20.0000	1.8136	1.0000	4.0000	9.0000	4.0000	
327.2215	329.1994	348.6460	369.0483	6.0000	0.9779	15.4466	11.4022	1.8136	1.0000	4.0000	9.0000	4.0000	
374.8618	376.8398	382.5643	395.0860	5.0000	0.9779	1.7245	3.5217	2.9285	1.0000	4.0000	9.0000	4.0000	
402.0145	406.5763	419.7908	448.7908	1.0000	3.5619	9.2144	20.0000	3.5386	1.0000	4.0000	9.0000	4.0000	
456.3294	460.2664	474.5887	494.9910	1.0000	2.9371	10.3223	11.4022	1.4561	1.0000	4.0000	9.0000	4.0000	

