Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.1581	10.3864	21.4091	5.0000	2.1581	3.2283	2.0227	7.0772	1.0000	4.0000	9.0000	4.0000	
32.4863	37.2073	61.2073	81.9046	2.0000	3.7210	20.0000	11.6973	6.3131	1.0000	4.0000	9.0000	4.0000	
92.2177	97.6793	121.6793	142.3766	6.0000	4.4617	20.0000	11.6973	5.9102	1.0000	4.0000	9.0000	4.0000	
152.2868	154.5201	162.9700	174.8531	6.0000	1.2333	4.4499	2.8831	2.1872	1.0000	4.0000	9.0000	4.0000	
181.0403	184.2178	191.5399	213.3876	1.0000	2.1775	3.3221	12.8477	12.0597	1.0000	4.0000	9.0000	4.0000	
229.4473	238.7119	246.0340	259.8296	5.0000	8.2647	3.3221	4.7956	8.5367	1.0000	4.0000	9.0000	4.0000	
272.3663	274.5997	298.5997	309.6224	1.0000	1.2333	20.0000	2.0227	3.8521	1.0000	4.0000	9.0000	4.0000	
317.4745	320.7539	325.3658	339.1614	2.0000	2.2794	0.6119	4.7956	20.0000	1.0000	4.0000	9.0000	4.0000	
363.1614	366.3195	373.6416	385.5246	4.0000	2.1581	3.3221	2.8831	1.5787	1.0000	4.0000	9.0000	4.0000	
391.1033	396.5650	420.1898	432.3047	4.0000	4.4617	19.6249	3.1149	5.9102	1.0000	4.0000	9.0000	4.0000	
442.2149	447.6766	456.1265	465.9259	3.0000	4.4617	4.4499	0.7994	2.1872	1.0000	4.0000	9.0000	4.0000	
472.1131	474.3465	481.6686	493.1687	3.0000	1.2333	3.3221	2.5001	5.9102	1.0000	4.0000	9.0000	4.0000	

