Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.3142	12.7490	25.4836	5.0000	2.3142	5.4348	3.7346	1.0872	1.0000	4.0000	9.0000	4.0000	
30.5708	35.7184	40.6061	53.3408	2.0000	4.1476	0.8878	3.7346	1.9104	1.0000	4.0000	9.0000	4.0000	
59.2512	64.3988	71.5911	83.7229	4.0000	4.1476	3.1924	3.1318	3.3143	1.0000	4.0000	9.0000	4.0000	
91.0372	93.4998	101.9293	113.8319	2.0000	1.4626	4.4294	2.9026	8.5959	1.0000	4.0000	9.0000	4.0000	
126.4278	135.5640	148.1630	159.9428	6.0000	8.1362	8.5990	2.7798	0.8645	1.0000	4.0000	9.0000	4.0000	
164.8074	167.2303	173.1868	183.7940	1.0000	1.4229	1.9565	1.6072	13.9689	1.0000	4.0000	9.0000	4.0000	
201.7629	205.0548	213.4842	227.5866	3.0000	2.2919	4.4294	5.1024	0.8174	1.0000	4.0000	9.0000	4.0000	
232.4040	234.0222	238.9100	250.8126	5.0000	0.6182	0.8878	2.9026	2.7508	1.0000	4.0000	9.0000	4.0000	
257.5634	259.2057	264.0934	280.0172	4.0000	0.6423	0.8878	6.9238	1.9104	1.0000	4.0000	9.0000	4.0000	
285.9276	295.0638	307.6628	320.9145	3.0000	8.1362	8.5990	4.2517	1.0872	1.0000	4.0000	9.0000	4.0000	
326.0016	329.0387	333.7321	343.8633	6.0000	2.0371	0.6933	1.1313	2.7508	1.0000	4.0000	9.0000	4.0000	
350.6141	359.7503	365.4771	375.6260	1.0000	8.1362	1.7268	1.1490	3.3143	1.0000	4.0000	9.0000	4.0000	

