Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	5.1610	10.1761	23.1548	1.0000	4.1610	1.0150	3.9787	2.7254	1.0000	4.0000	9.0000	4.0000	
29.8802	34.0441	40.1411	56.3490	2.0000	3.1639	2.0971	7.2078	6.8316	1.0000	4.0000	9.0000	4.0000	
67.1806	68.9376	84.7317	94.2858	4.0000	0.7571	11.7941	0.5540	0.6964	1.0000	4.0000	9.0000	4.0000	
98.9822	108.2368	113.2518	124.4172	5.0000	8.2546	1.0150	2.1654	13.0976	1.0000	4.0000	9.0000	4.0000	
141.5148	144.5416	158.2848	168.8048	1.0000	2.0268	9.7432	1.5200	12.0996	1.0000	4.0000	9.0000	4.0000	
184.9044	188.6441	194.8208	208.6472	4.0000	2.7397	2.1767	4.8265	2.1511	1.0000	4.0000	9.0000	4.0000	
214.7983	224.0529	239.8470	252.2896	2.0000	8.2546	11.7941	3.4426	9.3295	1.0000	4.0000	9.0000	4.0000	
265.6191	274.8737	285.2062	296.3716	6.0000	8.2546	6.3325	2.1654	6.8316	1.0000	4.0000	9.0000	4.0000	
307.2032	308.9516	316.4197	330.2462	5.0000	0.7484	3.4681	4.8265	7.7361	1.0000	4.0000	9.0000	4.0000	
341.9823	351.2369	358.5118	371.7975	3.0000	8.2546	3.2749	4.2857	9.3295	1.0000	4.0000	9.0000	4.0000	
385.1270	386.6703	392.7673	402.9278	6.0000	0.5433	2.0971	1.1605	2.2389	1.0000	4.0000	9.0000	4.0000	
409.1667	413.3306	423.6631	436.1057	3.0000	3.1639	6.3325	3.4426	7.7361	1.0000	4.0000	9.0000	4.0000	

