Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.8227	11.3715	28.4090	3.0000	3.8227	2.5488	8.0375	0.7748	1.0000	4.0000	9.0000	4.0000	
33.1838	39.0922	44.0630	54.6788	5.0000	4.9084	0.9709	1.6157	8.7538	1.0000	4.0000	9.0000	4.0000	
67.4325	72.5002	78.2703	89.3677	1.0000	4.0677	1.7701	2.0974	0.6371	1.0000	4.0000	9.0000	4.0000	
94.0048	98.8275	104.5976	114.3626	6.0000	3.8227	1.7701	0.7650	1.5231	1.0000	4.0000	9.0000	4.0000	
119.8857	123.1543	133.5634	143.3934	4.0000	2.2687	6.4090	0.8301	8.7538	1.0000	4.0000	9.0000	4.0000	
156.1472	161.2149	170.0935	181.1602	4.0000	4.0677	4.8786	2.0668	3.0444	1.0000	4.0000	9.0000	4.0000	
188.2046	195.8072	204.9766	216.0740	2.0000	6.6026	5.1694	2.0974	8.7538	1.0000	4.0000	9.0000	4.0000	
228.8278	232.0965	240.9751	258.0126	5.0000	2.2687	4.8786	8.0375	8.0503	1.0000	4.0000	9.0000	4.0000	
270.0629	271.8829	283.6639	300.7014	2.0000	0.8200	7.7810	8.0375	0.8212	1.0000	4.0000	9.0000	4.0000	
305.5225	311.4309	321.8399	333.3528	1.0000	4.9084	6.4090	2.5129	3.0444	1.0000	4.0000	9.0000	4.0000	
340.3972	346.3055	350.9096	360.6308	6.0000	4.9084	0.6040	0.7212	8.7538	1.0000	4.0000	9.0000	4.0000	
373.3846	379.2930	384.2638	395.2790	3.0000	4.9084	0.9709	2.0152	5.0796	1.0000	4.0000	9.0000	4.0000	

