Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	6.8556	11.5318	26.6963	1.0000	5.8556	0.6761	6.1645	8.8265	1.0000	4.0000	9.0000	4.0000	
39.5228	41.3684	46.6959	58.6490	5.0000	0.8456	1.3275	2.9530	1.5128	1.0000	4.0000	9.0000	4.0000	
64.1617	71.0174	76.6938	87.9841	4.0000	5.8556	1.6764	2.2903	1.6635	1.0000	4.0000	9.0000	4.0000	
93.6477	99.1910	103.8671	119.0317	6.0000	4.5434	0.6761	6.1645	9.0493	1.0000	4.0000	9.0000	4.0000	
132.0809	135.2907	140.9671	151.8665	2.0000	2.2098	1.6764	1.8994	2.6579	1.0000	4.0000	9.0000	4.0000	
158.5244	160.8990	166.0118	181.6506	3.0000	1.3747	1.1128	6.6388	10.5585	1.0000	4.0000	9.0000	4.0000	
196.2091	201.4662	210.5625	221.2674	2.0000	4.2571	5.0963	1.7049	1.6635	1.0000	4.0000	9.0000	4.0000	
226.9309	232.4743	237.1504	253.8105	3.0000	4.5434	0.6761	7.6601	1.9481	1.0000	4.0000	9.0000	4.0000	
259.7586	262.9684	268.5572	279.4566	4.0000	2.2098	1.5889	1.8994	1.0000	1.0000	4.0000	9.0000	4.0000	
284.4566	289.7137	295.3026	306.5929	6.0000	4.2571	1.5889	2.2903	4.8430	1.0000	4.0000	9.0000	4.0000	
315.4359	318.6456	328.7644	339.6638	5.0000	2.2098	6.1188	1.8994	1.3935	1.0000	4.0000	9.0000	4.0000	
345.0573	346.9584	352.5473	362.8183	1.0000	0.9011	1.5889	1.2710	4.1260	1.0000	4.0000	9.0000	4.0000	

