Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	7.5342	17.1607	33.2759	5.0000	6.5342	5.6265	7.1151	1.9478	1.0000	4.0000	9.0000	4.0000	
39.2236	41.0003	46.1365	56.6035	5.0000	0.7767	1.1362	1.4671	3.5324	1.0000	4.0000	9.0000	4.0000	
64.1359	72.2532	81.6468	96.8595	3.0000	7.1173	5.3937	6.2126	3.5324	1.0000	4.0000	9.0000	4.0000	
104.3918	107.6049	112.7411	128.8562	4.0000	2.2131	1.1362	7.1151	1.9478	1.0000	4.0000	9.0000	4.0000	
134.8040	137.4045	142.7618	159.4495	3.0000	1.6005	1.3573	7.6877	1.4349	1.0000	4.0000	9.0000	4.0000	
164.8844	169.2660	179.2016	208.2016	6.0000	3.3816	5.9356	20.0000	0.6412	1.0000	4.0000	9.0000	4.0000	
212.8428	214.6082	224.5438	253.5438	1.0000	0.7654	5.9356	20.0000	3.1373	1.0000	4.0000	9.0000	4.0000	
260.6811	268.7984	278.7340	289.2759	4.0000	7.1173	5.9356	1.5419	3.1691	1.0000	4.0000	9.0000	4.0000	
296.4450	300.8266	305.9628	317.2936	2.0000	3.3816	1.1362	2.3309	3.8674	1.0000	4.0000	9.0000	4.0000	
325.1610	329.1742	347.1248	358.4399	1.0000	3.0132	13.9506	2.3152	1.3670	1.0000	4.0000	9.0000	4.0000	
363.8069	371.9242	389.8748	405.9899	6.0000	7.1173	13.9506	7.1151	3.1691	1.0000	4.0000	9.0000	4.0000	
413.1590	417.1722	424.8172	441.5049	2.0000	3.0132	3.6450	7.6877	3.1691	1.0000	4.0000	9.0000	4.0000	

