Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.3092	12.9922	32.5290	4.0000	3.3092	4.6830	10.5368	1.1002	1.0000	4.0000	9.0000	4.0000	
37.6291	42.4273	47.8600	59.9390	2.0000	3.7981	1.4327	3.0790	0.5738	1.0000	4.0000	9.0000	4.0000	
64.5128	66.6759	71.2592	81.7797	4.0000	1.1630	0.5833	1.5205	1.1939	1.0000	4.0000	9.0000	4.0000	
86.9736	94.8147	101.3748	122.8327	2.0000	6.8411	2.5601	12.4579	1.1002	1.0000	4.0000	9.0000	4.0000	
127.9329	130.7547	135.3095	156.7675	6.0000	1.8218	0.5549	12.4579	1.1002	1.0000	4.0000	9.0000	4.0000	
161.8676	169.7087	175.5107	195.0475	1.0000	6.8411	1.8020	10.5368	0.5738	1.0000	4.0000	9.0000	4.0000	
199.6213	201.7843	207.5864	222.9187	3.0000	1.1630	1.8020	6.3323	1.5763	1.0000	4.0000	9.0000	4.0000	
228.4950	230.6580	235.2129	250.5452	1.0000	1.1630	0.5549	6.3323	2.1553	1.0000	4.0000	9.0000	4.0000	
256.7005	264.5416	271.1017	286.4340	6.0000	6.8411	2.5601	6.3323	5.7981	1.0000	4.0000	9.0000	4.0000	
296.2321	301.0302	306.6097	317.1302	3.0000	3.7981	1.5795	1.5205	2.1553	1.0000	4.0000	9.0000	4.0000	
323.2855	328.0836	335.4178	350.4441	5.0000	3.7981	3.3341	6.0263	10.5302	1.0000	4.0000	9.0000	4.0000	
364.9743	368.7168	373.3002	385.5296	5.0000	2.7425	0.5833	3.2295	5.7981	1.0000	4.0000	9.0000	4.0000	

