Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.8367	12.9001	30.6404	1.0000	3.8367	4.0634	8.7403	5.0524	1.0000	4.0000	9.0000	4.0000	
39.6929	44.4418	50.4412	69.0331	4.0000	3.7489	1.9994	9.5919	0.9164	1.0000	4.0000	9.0000	4.0000	
73.9495	80.4483	89.0818	109.1959	4.0000	5.4988	4.6335	11.1141	5.0524	1.0000	4.0000	9.0000	4.0000	
118.2484	122.9973	128.9967	141.9499	2.0000	3.7489	1.9994	3.9532	2.9000	1.0000	4.0000	9.0000	4.0000	
148.8499	151.0016	170.3998	191.4552	1.0000	1.1517	15.3982	12.0554	5.0368	1.0000	4.0000	9.0000	4.0000	
200.4920	203.8648	214.7602	226.8465	6.0000	2.3729	6.8954	3.0863	2.9000	1.0000	4.0000	9.0000	4.0000	
233.7465	238.5832	247.2167	267.3309	6.0000	3.8367	4.6335	11.1141	9.7487	1.0000	4.0000	9.0000	4.0000	
281.0796	285.9163	291.9157	311.3568	5.0000	3.8367	1.9994	10.4411	9.7487	1.0000	4.0000	9.0000	4.0000	
325.1056	327.2572	335.8907	350.0367	2.0000	1.1517	4.6335	5.1459	12.7882	1.0000	4.0000	9.0000	4.0000	
366.8249	371.5623	377.5618	395.3021	3.0000	3.7375	1.9994	8.7403	6.7607	1.0000	4.0000	9.0000	4.0000	
406.0628	410.8002	416.4954	434.2357	5.0000	3.7375	1.6952	8.7403	6.7607	1.0000	4.0000	9.0000	4.0000	
444.9964	449.7453	469.1435	480.7440	3.0000	3.7489	15.3982	2.6006	12.7882	1.0000	4.0000	9.0000	4.0000	

