Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.8166	15.5409	27.5014	3.0000	3.8166	6.7243	2.9605	2.1911	1.0000	4.0000	9.0000	4.0000	
33.6925	37.7710	49.9799	63.4245	5.0000	3.0786	8.2088	4.4447	4.5574	1.0000	4.0000	9.0000	4.0000	
71.9819	76.0605	80.9248	91.3026	1.0000	3.0786	0.8643	1.3777	1.1827	1.0000	4.0000	9.0000	4.0000	
96.4853	101.3019	106.7381	120.1828	4.0000	3.8166	1.4362	4.4447	7.9163	1.0000	4.0000	9.0000	4.0000	
132.0991	136.9157	149.1245	160.0425	2.0000	3.8166	8.2088	1.9180	1.3534	1.0000	4.0000	9.0000	4.0000	
165.3959	169.4745	179.6692	192.4676	6.0000	3.0786	6.1947	3.7984	1.3534	1.0000	4.0000	9.0000	4.0000	
197.8210	202.1566	214.3654	233.2276	1.0000	3.3356	8.2088	9.8621	1.2948	1.0000	4.0000	9.0000	4.0000	
238.5224	243.5120	249.8068	263.5259	3.0000	3.9896	2.2948	4.7191	1.3534	1.0000	4.0000	9.0000	4.0000	
268.8793	272.0321	280.5778	290.9555	6.0000	2.1529	4.5457	1.3777	1.2948	1.0000	4.0000	9.0000	4.0000	
296.2503	299.1064	309.3011	321.3978	5.0000	1.8560	6.1947	3.0967	6.3167	1.0000	4.0000	9.0000	4.0000	
331.7145	336.0501	342.3449	356.0640	4.0000	3.3356	2.2948	4.7191	2.1911	1.0000	4.0000	9.0000	4.0000	
362.2551	365.4079	375.4961	385.1222	2.0000	2.1529	6.0882	0.6261	5.3689	1.0000	4.0000	9.0000	4.0000	

