Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	2.7067	8.7666	19.6078	5.0000	1.7067	2.0599	1.8412	3.8780	1.0000	4.0000	9.0000	4.0000	
27.4858	30.2527	36.3126	46.7383	6.0000	1.7670	2.0599	1.4257	1.4181	1.0000	4.0000	9.0000	4.0000	
52.1564	57.2035	63.4350	75.2326	3.0000	4.0471	2.2315	2.7977	3.8780	1.0000	4.0000	9.0000	4.0000	
83.1107	94.2461	98.8508	109.2765	4.0000	10.1355	0.6047	1.4257	2.1949	1.0000	4.0000	9.0000	4.0000	
115.4713	126.6068	135.6810	147.4786	5.0000	10.1355	5.0742	2.7977	2.0037	1.0000	4.0000	9.0000	4.0000	
153.4823	164.6178	169.5642	181.4502	1.0000	10.1355	0.9464	2.8860	7.0534	1.0000	4.0000	9.0000	4.0000	
192.5036	195.2705	203.6081	225.0635	2.0000	1.7670	4.3375	12.4555	2.5657	1.0000	4.0000	9.0000	4.0000	
231.6292	236.6763	244.0055	255.8915	2.0000	4.0471	3.3292	2.8860	2.0132	1.0000	4.0000	9.0000	4.0000	
261.9047	264.6114	271.9406	285.5364	6.0000	1.7067	3.3292	4.5958	2.0132	1.0000	4.0000	9.0000	4.0000	
291.5496	293.7376	302.8118	319.7622	1.0000	1.1880	5.0742	7.9504	1.2893	1.0000	4.0000	9.0000	4.0000	
325.0515	326.7460	336.8601	352.0007	4.0000	0.6945	6.1141	6.1406	9.6003	1.0000	4.0000	9.0000	4.0000	
365.6010	367.4416	372.3880	389.3384	3.0000	0.8406	0.9464	7.9504	0.5158	1.0000	4.0000	9.0000	4.0000	

