Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	5.5117	14.3264	26.8570	4.0000	4.5117	4.8147	3.5306	1.7306	1.0000	4.0000	9.0000	4.0000	
32.5876	36.9118	42.1736	61.8029	2.0000	3.3242	1.2618	10.6293	3.3104	1.0000	4.0000	9.0000	4.0000	
69.1133	74.9449	79.8037	99.4329	3.0000	4.8316	0.8588	10.6293	3.3104	1.0000	4.0000	9.0000	4.0000	
106.7434	109.5242	118.3562	136.5765	5.0000	1.7808	4.8320	9.2203	9.6450	1.0000	4.0000	9.0000	4.0000	
150.2214	154.6830	163.4978	181.7181	2.0000	3.4616	4.8147	9.2203	1.7306	1.0000	4.0000	9.0000	4.0000	
187.4487	189.3309	196.8519	216.4812	1.0000	0.8822	3.5210	10.6293	2.8809	1.0000	4.0000	9.0000	4.0000	
223.3621	224.9104	233.7424	253.3717	6.0000	0.5483	4.8320	10.6293	9.6450	1.0000	4.0000	9.0000	4.0000	
267.0166	272.5283	277.7751	296.9156	6.0000	4.5117	1.2468	10.1406	11.0288	1.0000	4.0000	9.0000	4.0000	
311.9445	316.4060	332.4050	344.7304	3.0000	3.4616	11.9989	3.3255	16.0808	1.0000	4.0000	9.0000	4.0000	
364.8112	369.2728	374.8209	387.5071	1.0000	3.4616	1.5481	3.6863	8.7670	1.0000	4.0000	9.0000	4.0000	
400.2741	404.4672	411.2900	422.2504	4.0000	3.1930	2.8228	1.9604	3.6887	1.0000	4.0000	9.0000	4.0000	
429.9391	435.7707	441.0175	460.6468	5.0000	4.8316	1.2468	10.6293	4.1395	1.0000	4.0000	9.0000	4.0000	

