Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.7751	13.3426	24.7781	4.0000	3.7751	4.5675	2.4355	1.8918	1.0000	4.0000	9.0000	4.0000	
30.6699	32.4806	37.6043	49.5037	1.0000	0.8107	1.1237	2.8994	1.9289	1.0000	4.0000	9.0000	4.0000	
55.4326	57.5708	64.1815	75.7618	2.0000	1.1383	2.6107	2.5803	0.8745	1.0000	4.0000	9.0000	4.0000	
80.6363	87.2454	96.4051	107.7384	3.0000	5.6091	5.1597	2.3333	0.9766	1.0000	4.0000	9.0000	4.0000	
112.7150	117.4901	122.9117	134.2450	5.0000	3.7751	1.4217	2.3333	0.6456	1.0000	4.0000	9.0000	4.0000	
138.8906	141.0289	146.3595	156.7920	6.0000	1.1383	1.3307	1.4324	0.6456	1.0000	4.0000	9.0000	4.0000	
161.4375	165.2519	171.8362	191.7009	4.0000	2.8143	2.5843	10.8646	1.9469	1.0000	4.0000	9.0000	4.0000	
197.6477	201.4620	206.3882	219.6394	6.0000	2.8143	0.9261	4.2513	7.7116	1.0000	4.0000	9.0000	4.0000	
231.3510	237.9601	246.5277	259.7789	1.0000	5.6091	4.5675	4.2513	0.8745	1.0000	4.0000	9.0000	4.0000	
264.6534	271.2626	276.3862	288.2856	2.0000	5.6091	1.1237	2.8994	1.8918	1.0000	4.0000	9.0000	4.0000	
294.1774	298.9525	304.3742	314.8066	3.0000	3.7751	1.4217	1.4324	17.0097	1.0000	4.0000	9.0000	4.0000	
335.8163	342.4254	352.5722	371.1622	5.0000	5.6091	6.1468	9.5900	17.0097	1.0000	4.0000	9.0000	4.0000	

