Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	3.4040	9.4098	21.3075	2.0000	2.4040	2.0058	2.8976	2.6710	1.0000	4.0000	9.0000	4.0000	
27.9784	32.2873	41.0963	52.0089	1.0000	3.3088	4.8090	1.9127	1.4903	1.0000	4.0000	9.0000	4.0000	
57.4992	61.8081	70.6171	81.7302	3.0000	3.3088	4.8090	2.1132	11.7239	1.0000	4.0000	9.0000	4.0000	
97.4542	100.2511	106.8100	118.7077	4.0000	1.7970	2.5589	2.8976	3.2163	1.0000	4.0000	9.0000	4.0000	
125.9239	127.6644	138.0094	149.9070	5.0000	0.7404	6.3450	2.8976	6.8587	1.0000	4.0000	9.0000	4.0000	
160.7657	163.6767	170.2356	182.1333	6.0000	1.9110	2.5589	2.8976	6.8587	1.0000	4.0000	9.0000	4.0000	
192.9919	199.1292	206.7297	225.2210	4.0000	5.1372	3.6006	9.4913	1.9506	1.0000	4.0000	9.0000	4.0000	
231.1716	233.9213	240.8166	250.7707	3.0000	1.7497	2.8954	0.9540	1.9506	1.0000	4.0000	9.0000	4.0000	
256.7213	262.8585	268.7835	287.2748	6.0000	5.1372	1.9250	9.4913	4.9847	1.0000	4.0000	9.0000	4.0000	
296.2595	300.5683	308.1689	319.0815	2.0000	3.3088	3.6006	1.9127	1.9506	1.0000	4.0000	9.0000	4.0000	
325.0321	331.1694	338.7699	350.8392	5.0000	5.1372	3.6006	3.0693	1.9506	1.0000	4.0000	9.0000	4.0000	
356.7898	362.9270	368.8511	379.8353	1.0000	5.1372	1.9240	1.9843	6.8587	1.0000	4.0000	9.0000	4.0000	

