Event1 onset	Event2 onset	Event3 onset	Event4 onset	Trial type	ISI1	ISI2	ISI3	ITI	Event1Dur	Event2Dur	Event3Dur	Event4Dur	
0.0000	4.9262	12.2372	26.0826	3.0000	3.9262	3.3110	4.8454	8.0073	1.0000	4.0000	9.0000	4.0000	
38.0899	40.9792	48.2902	61.2033	4.0000	1.8893	3.3110	3.9131	3.4245	1.0000	4.0000	9.0000	4.0000	
68.6278	74.2448	80.0344	92.0869	2.0000	4.6170	1.7896	3.0525	5.7003	1.0000	4.0000	9.0000	4.0000	
101.7871	106.7134	112.5103	123.8272	5.0000	3.9262	1.7969	2.3169	9.2801	1.0000	4.0000	9.0000	4.0000	
137.1073	142.7243	157.7638	169.8163	1.0000	4.6170	11.0395	3.0525	5.7003	1.0000	4.0000	9.0000	4.0000	
179.5166	186.5266	192.0169	203.2929	5.0000	6.0100	1.4903	2.2761	0.7119	1.0000	4.0000	9.0000	4.0000	
208.0048	211.6642	220.1075	233.8186	3.0000	2.6594	4.4433	4.7111	4.0606	1.0000	4.0000	9.0000	4.0000	
241.8792	248.8892	258.1096	269.3856	6.0000	6.0100	5.2204	2.2761	9.2758	1.0000	4.0000	9.0000	4.0000	
282.6615	285.1937	294.4140	309.7811	1.0000	1.5322	5.2204	6.3670	2.7079	1.0000	4.0000	9.0000	4.0000	
316.4890	322.1060	337.1455	350.9909	6.0000	4.6170	11.0395	4.8454	5.3634	1.0000	4.0000	9.0000	4.0000	
360.3543	363.2436	372.4270	387.7940	2.0000	1.8893	5.1834	6.3670	0.7119	1.0000	4.0000	9.0000	4.0000	
392.5060	399.5159	407.9592	420.0117	4.0000	6.0100	4.4433	3.0525	2.7079	1.0000	4.0000	9.0000	4.0000	

