,trial_order,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,10,50,same,high,h041.png,2,2,cognitive,99,2,10_50.jpg,4,2.2,0.0
1,1,12,50,different,high,h052.png,8,2,cognitive,99,2,12_50_R.jpg,4,1.6,0.0
2,2,20,150,different,low,l054.png,31,5,cognitive,99,2,20_150_R.jpg,4,1.2,0.0
3,3,2,100,different,high,h051.png,22,4,cognitive,99,2,2_100_R.jpg,4,4.0,0.0
4,4,31,150,same,low,l001.png,27,5,cognitive,99,2,31_150.jpg,4,1.0,0.0
5,5,3,150,different,low,l002.png,33,5,cognitive,99,2,3_150_R.jpg,4,1.9,0.0
6,6,33,150,same,high,h002.png,26,6,cognitive,99,2,33_150.jpg,4,2.2,0.0
7,7,33,100,different,high,h009.png,18,4,cognitive,99,2,33_100_R.jpg,4,2.2,0.0
8,8,4,100,same,high,h008.png,12,4,cognitive,99,2,4_100.jpg,4,2.2,0.0
9,9,12,100,same,low,l046.png,15,3,cognitive,99,2,12_100.jpg,4,1.4,0.0
10,10,42,150,different,low,l037.png,35,5,cognitive,99,2,42_150_R.jpg,4,2.2,0.0
11,11,12,150,different,high,h029.png,34,6,cognitive,99,2,12_150_R.jpg,4,3.2,0.0
12,12,20,50,different,low,l005.png,7,1,cognitive,99,2,20_50_R.jpg,4,1.9,0.0
13,13,42,50,same,low,l028.png,3,1,cognitive,99,2,42_50.jpg,4,3.4,0.0
14,14,8,150,different,high,h020.png,32,6,cognitive,99,2,8_150_R.jpg,4,1.4,0.0
15,15,23,50,same,low,l009.png,1,1,cognitive,99,2,23_50.jpg,4,2.0,0.0
16,16,23,150,same,high,h011.png,28,6,cognitive,99,2,23_150.jpg,4,1.2,0.0
17,17,8,50,different,low,l036.png,9,1,cognitive,99,2,8_50_R.jpg,4,1.2,0.0
18,18,10,150,same,low,l017.png,25,5,cognitive,99,2,10_150.jpg,4,2.0,0.0
19,19,2,50,different,high,h014.png,10,2,cognitive,99,2,2_50_R.jpg,4,4.0,0.0
20,20,3,50,same,high,h015.png,4,2,cognitive,99,2,3_50.jpg,4,2.2,0.0
21,21,31,100,same,low,l014.png,17,3,cognitive,99,2,31_100.jpg,4,1.0,0.0
22,22,2,150,different,high,h026.png,30,6,cognitive,99,2,2_150_R.jpg,4,2.0,0.0
23,23,35,100,same,low,l045.png,13,3,cognitive,99,2,35_100.jpg,4,1.2,0.0
24,24,35,150,same,low,l034.png,29,5,cognitive,99,2,35_150.jpg,4,3.4,0.0
25,25,33,50,same,low,l050.png,5,1,cognitive,99,2,33_50.jpg,4,2.0,0.0
26,26,10,100,different,high,h017.png,20,4,cognitive,99,2,10_100_R.jpg,4,1.1,0.0
27,27,42,100,same,high,h044.png,16,4,cognitive,99,2,42_100.jpg,4,2.1,0.0
28,28,20,100,different,low,l015.png,23,3,cognitive,99,2,20_100_R.jpg,4,2.2,0.0
29,29,8,100,same,high,h028.png,14,4,cognitive,99,2,8_100.jpg,4,1.9,0.0
30,30,3,100,different,low,l007.png,19,3,cognitive,99,2,3_100_R.jpg,4,1.0,0.0
31,31,23,100,different,low,l022.png,21,3,cognitive,99,2,23_100_R.jpg,4,1.8,0.0
32,32,35,50,same,high,h049.png,0,2,cognitive,99,2,35_50.jpg,4,1.1,0.0
33,33,31,50,different,high,h004.png,6,2,cognitive,99,2,31_50_R.jpg,4,4.0,0.0
34,34,4,150,same,high,h053.png,24,6,cognitive,99,2,4_150.jpg,4,1.2,0.0
35,35,4,50,different,low,l021.png,11,1,cognitive,99,2,4_50_R.jpg,4,1.0,0.0
