Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,6.187,6.0,1.9,1.2,5.0,10.5
18.6147,25.0401,4.0,3.5,1.4,5.0,10.5
39.0165,44.5207,2.0,1.9,0.5,5.0,10.5
56.9484,63.1753,2.0,3.5,1.2,5.0,10.5
77.1518,82.8947,6.0,1.8,2.1,5.0,10.5
95.2379,101.0382,5.0,1.9,0.8,5.0,10.5
113.4266,119.1361,4.0,2.4,0.7,5.0,10.5
132.0021,138.1891,1.0,1.7,1.2,5.0,10.5
150.8113,156.3622,1.0,1.7,2.0,5.0,10.5
168.9618,174.7621,1.0,1.3,0.8,5.0,10.5
186.5833,192.2727,1.0,4.9,0.7,5.0,10.5
208.033,213.6234,6.0,1.8,0.6,5.0,10.5
226.2856,231.8265,1.0,2.0,0.5,5.0,10.5
244.3167,250.1316,6.0,1.3,0.8,5.0,10.5
261.9489,267.9339,5.0,2.0,1.0,5.0,10.5
280.4789,286.2739,5.0,1.6,0.8,5.0,10.5
298.764,304.3304,2.0,2.0,0.6,5.0,10.5
316.8372,322.6522,4.0,1.1,0.8,5.0,10.5
334.2922,339.8201,2.0,1.2,0.5,5.0,10.5
351.5111,357.0775,6.0,3.2,0.6,5.0,10.5
371.2189,376.9213,3.0,2.1,0.7,5.0,10.5
389.5403,395.1602,4.0,1.0,0.6,5.0,10.5
406.6827,412.6276,4.0,2.0,2.3,5.0,10.5
425.1726,431.0241,4.0,1.6,0.9,5.0,10.5
443.5142,449.2166,2.0,2.1,0.7,5.0,10.5
462.2241,467.9582,6.0,1.7,0.7,5.0,10.5
480.5578,486.8589,2.0,1.8,2.7,5.0,10.5
499.5211,505.466,1.0,1.0,0.9,5.0,10.5
516.9885,522.961,5.0,1.8,1.0,5.0,10.5
535.6736,541.363,5.0,3.1,0.7,5.0,10.5
555.3394,560.8674,5.0,3.2,1.9,5.0,10.5
574.6101,580.161,3.0,2.0,0.6,5.0,10.5
592.6678,599.0932,3.0,1.0,1.4,5.0,10.5
610.5988,616.4138,3.0,1.3,0.8,5.0,10.5
628.5704,634.3619,3.0,1.6,0.8,5.0,10.5
646.852,652.586,3.0,1.5,0.7,5.0,10.5
