Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.6049,4.0,1.8,0.6,5.0,10.5
18.2253,24.2322,4.0,2.2,1.0,5.0,10.5
36.9687,44.2907,6.0,1.7,3.1,5.0,10.5
56.5246,62.3727,3.0,1.7,1.6,5.0,10.5
74.6065,80.423,5.0,2.0,0.8,5.0,10.5
93.1637,100.4441,5.0,1.1,2.3,5.0,10.5
112.0358,117.6191,5.0,2.4,0.6,5.0,10.5
130.6952,136.2748,4.0,1.2,0.6,5.0,10.5
148.02,153.7776,4.0,1.6,0.8,5.0,10.5
166.0315,171.5447,6.0,2.4,0.5,5.0,10.5
184.6893,190.2478,1.0,4.4,0.6,5.0,10.5
205.1963,211.6753,1.0,1.1,1.5,5.0,10.5
223.2743,229.1414,1.0,2.8,0.9,5.0,10.5
242.5914,248.109,2.0,2.2,0.5,5.0,10.5
260.8498,266.5441,6.0,1.6,0.7,5.0,10.5
278.798,285.407,5.0,4.3,1.6,5.0,10.5
300.216,305.8174,3.0,2.4,0.6,5.0,10.5
318.8935,324.5719,3.0,1.8,0.7,5.0,10.5
337.1561,342.9399,3.0,1.5,0.8,5.0,10.5
354.9266,361.5356,3.0,1.1,2.4,5.0,10.5
373.1273,379.0719,6.0,4.0,0.9,5.0,10.5
393.8809,399.4858,6.0,4.4,0.6,5.0,10.5
414.4344,420.2963,5.0,1.6,0.9,5.0,10.5
432.6623,438.18,5.0,1.1,1.3,5.0,10.5
449.8122,455.3254,4.0,1.3,0.5,5.0,10.5
467.1118,472.9307,2.0,1.1,1.6,5.0,10.5
484.563,490.1348,1.0,1.9,0.6,5.0,10.5
502.5201,508.3365,2.0,2.4,0.8,5.0,10.5
521.4811,527.7096,3.0,1.1,1.2,5.0,10.5
539.3562,545.1139,6.0,1.8,0.8,5.0,10.5
557.3863,562.9696,2.0,2.2,0.6,5.0,10.5
575.6506,581.4671,4.0,1.1,0.8,5.0,10.5
593.0661,598.7508,2.0,1.1,0.7,5.0,10.5
610.3636,616.3082,2.0,1.6,0.9,5.0,10.5
628.6022,634.3622,1.0,2.4,0.8,5.0,10.5
647.5068,653.1711,1.0,2.0,0.7,5.0,10.5
