Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5333,6.0,1.4,0.5,5.0,10.5
18.0554,23.5891,1.0,1.2,0.5,5.0,10.5
35.8732,41.6155,6.0,1.3,2.8,5.0,10.5
53.3681,58.9014,2.0,1.3,0.5,5.0,10.5
70.6882,77.0112,1.0,3.7,1.3,5.0,10.5
91.2581,96.8571,4.0,1.0,0.6,5.0,10.5
108.9089,114.4154,3.0,1.1,0.5,5.0,10.5
126.0058,131.91,4.0,1.1,0.9,5.0,10.5
143.5048,150.2603,4.0,1.4,3.9,5.0,10.5
162.8078,168.6452,1.0,1.6,0.8,5.0,10.5
180.697,186.3233,5.0,1.3,0.6,5.0,10.5
198.1197,203.7545,5.0,1.3,0.6,5.0,10.5
215.5071,221.0362,5.0,3.1,0.5,5.0,10.5
235.2831,240.8919,3.0,1.5,0.6,5.0,10.5
252.8606,258.4699,6.0,3.1,0.6,5.0,10.5
272.7167,278.3255,5.0,1.1,0.6,5.0,10.5
289.9218,295.5208,1.0,1.2,0.6,5.0,10.5
307.8524,313.7235,4.0,3.5,0.9,5.0,10.5
328.3699,333.9791,1.0,2.3,0.6,5.0,10.5
346.7516,352.4308,3.0,1.3,0.7,5.0,10.5
364.2176,370.3245,2.0,2.4,3.2,5.0,10.5
383.2438,388.8652,5.0,1.8,0.6,5.0,10.5
401.1493,406.6558,5.0,2.2,0.5,5.0,10.5
419.3551,424.8596,4.0,2.2,0.5,5.0,10.5
437.5823,443.1115,2.0,1.2,2.6,5.0,10.5
455.4431,461.0996,6.0,3.5,0.7,5.0,10.5
475.7112,481.2445,4.0,2.0,2.6,5.0,10.5
494.3889,499.9801,2.0,3.5,0.6,5.0,10.5
514.6265,520.2479,2.0,1.4,0.6,5.0,10.5
532.1428,538.4962,1.0,3.1,1.4,5.0,10.5
552.6998,558.8067,6.0,1.5,1.1,5.0,10.5
570.7755,576.3847,2.0,2.3,0.6,5.0,10.5
589.1571,594.9946,3.0,2.4,0.8,5.0,10.5
607.9138,613.4664,6.0,1.4,0.6,5.0,10.5
625.3613,630.8946,3.0,3.5,0.5,5.0,10.5
645.5063,651.036,3.0,3.1,0.5,5.0,10.5
