Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5314,3.0,2.6,0.5,5.0,10.5
18.7476,24.3598,3.0,1.3,0.6,5.0,10.5
36.1499,41.7731,4.0,2.0,0.6,5.0,10.5
54.2322,61.0889,2.0,2.3,1.9,5.0,10.5
73.9947,79.6718,5.0,1.0,2.2,5.0,10.5
91.2083,96.971,5.0,1.9,2.3,5.0,10.5
109.4301,114.9919,5.0,1.3,0.6,5.0,10.5
126.7876,132.3541,1.0,1.5,0.6,5.0,10.5
144.3856,150.1083,1.0,1.6,0.7,5.0,10.5
162.2743,168.1146,6.0,1.4,2.3,5.0,10.5
180.0069,185.6772,2.0,2.1,0.7,5.0,10.5
198.3519,204.6064,3.0,5.8,1.3,5.0,10.5
221.054,226.6105,3.0,1.6,0.6,5.0,10.5
238.8065,244.4876,3.0,1.1,0.7,5.0,10.5
256.1277,261.679,3.0,2.2,0.6,5.0,10.5
274.3537,280.245,4.0,2.9,2.4,5.0,10.5
293.752,299.6576,4.0,1.2,0.9,5.0,10.5
311.403,316.978,4.0,1.5,0.6,5.0,10.5
329.0096,334.576,4.0,2.8,0.6,5.0,10.5
347.9424,353.9151,6.0,1.1,1.0,5.0,10.5
365.5267,371.2205,6.0,1.1,0.7,5.0,10.5
382.8607,388.4129,5.0,1.1,0.6,5.0,10.5
400.0244,405.6948,5.0,1.5,0.7,5.0,10.5
417.66,423.1914,6.0,2.6,0.5,5.0,10.5
436.4076,442.2479,1.0,2.8,0.8,5.0,10.5
455.6143,462.8336,1.0,1.2,2.2,5.0,10.5
474.5259,480.1292,6.0,2.0,0.6,5.0,10.5
492.6622,498.3432,4.0,1.3,0.7,5.0,10.5
510.1333,515.8312,2.0,1.7,0.7,5.0,10.5
528.141,534.3955,2.0,1.1,1.3,5.0,10.5
546.0126,551.8529,2.0,3.3,0.8,5.0,10.5
565.7357,571.4295,5.0,5.8,0.7,5.0,10.5
587.8771,593.7827,1.0,1.5,2.4,5.0,10.5
605.7479,611.3001,1.0,3.7,0.6,5.0,10.5
625.6123,631.1688,6.0,1.2,0.6,5.0,10.5
642.8611,648.4125,2.0,1.3,0.6,5.0,10.5
