Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.0,5.0,1.7,0.0,5.0,11.5
18.2048,23.2048,5.0,1.7,0.0,5.0,11.5
36.3771,41.3771,3.0,1.8,0.0,5.0,11.5
54.6953,59.6953,1.0,1.3,0.0,5.0,11.5
72.4884,77.4884,6.0,4.0,0.0,5.0,11.5
92.9884,97.9884,6.0,1.2,0.0,5.0,11.5
110.6706,115.6706,1.0,1.2,0.0,5.0,11.5
128.3216,133.3216,4.0,1.7,0.0,5.0,11.5
146.4939,151.4939,4.0,1.3,0.0,5.0,11.5
164.287,169.287,4.0,1.2,0.0,5.0,11.5
181.9691,186.9691,3.0,4.0,0.0,5.0,11.5
202.4691,207.4691,3.0,2.6,0.0,5.0,11.5
221.5245,226.5245,3.0,1.5,0.0,5.0,11.5
239.4754,244.4754,6.0,4.0,0.0,5.0,11.5
259.9754,264.9754,5.0,4.0,0.0,5.0,11.5
280.4754,285.4754,1.0,1.4,0.0,5.0,11.5
298.3557,303.3557,5.0,1.5,0.0,5.0,11.5
316.3268,321.3268,2.0,1.3,0.0,5.0,11.5
334.1199,339.1199,6.0,2.6,0.0,5.0,11.5
353.1753,358.1753,3.0,1.6,0.0,5.0,11.5
371.2521,376.2521,2.0,1.4,0.0,5.0,11.5
389.1842,394.1842,2.0,1.4,0.0,5.0,11.5
407.0645,412.0645,2.0,2.0,0.0,5.0,11.5
425.5673,430.5673,2.0,1.4,0.0,5.0,11.5
443.4214,448.4214,3.0,1.4,0.0,5.0,11.5
461.2754,466.2754,2.0,1.2,0.0,5.0,11.5
478.9724,483.9724,1.0,2.3,0.0,5.0,11.5
497.7639,502.7639,1.0,1.7,0.0,5.0,11.5
515.9363,520.9363,1.0,1.5,0.0,5.0,11.5
533.8871,538.8871,4.0,1.3,0.0,5.0,11.5
551.7197,556.7197,4.0,2.1,0.0,5.0,11.5
570.3437,575.3437,4.0,1.6,0.0,5.0,11.5
588.395,593.395,5.0,1.5,0.0,5.0,11.5
606.3458,611.3458,5.0,3.7,0.0,5.0,11.5
626.5121,631.5121,6.0,1.6,0.0,5.0,11.5
644.5634,649.5634,6.0,4.0,0.0,5.0,11.5
