Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.6306,2.0,2.1,0.6,5.0,10.5
18.6222,24.5187,2.0,1.3,0.9,5.0,10.5
36.7492,42.2838,4.0,2.2,0.5,5.0,10.5
55.0172,60.6277,1.0,1.3,0.6,5.0,10.5
72.8037,78.4411,4.0,1.3,0.6,5.0,10.5
90.2753,96.3151,4.0,1.0,1.0,5.0,10.5
107.8278,113.6293,4.0,2.4,2.3,5.0,10.5
126.5268,132.1498,5.0,2.0,0.6,5.0,10.5
145.0465,150.7524,3.0,2.1,0.7,5.0,10.5
163.3871,169.0101,3.0,2.1,0.6,5.0,10.5
181.6577,187.4592,6.0,1.7,0.8,5.0,10.5
200.0938,206.0978,5.0,4.3,1.0,5.0,10.5
221.2618,227.6414,1.0,1.3,1.4,5.0,10.5
239.4757,246.0563,1.0,4.3,1.6,5.0,10.5
261.2203,266.8965,3.0,1.6,0.7,5.0,10.5
278.9554,284.586,6.0,4.3,0.6,5.0,10.5
299.75,305.4262,6.0,1.0,2.2,5.0,10.5
316.9389,322.5695,1.0,1.2,0.6,5.0,10.5
334.6284,340.2514,2.0,1.7,0.6,5.0,10.5
352.4793,357.9967,3.0,3.3,0.5,5.0,10.5
372.1984,377.9767,3.0,2.0,0.8,5.0,10.5
390.4957,396.1292,1.0,1.7,0.6,5.0,10.5
408.3477,414.0265,5.0,3.1,2.2,5.0,10.5
427.9931,434.5737,6.0,1.0,1.6,5.0,10.5
446.1195,451.7425,6.0,4.6,2.1,5.0,10.5
466.8583,472.4957,3.0,1.1,0.6,5.0,10.5
484.0865,489.875,4.0,3.3,0.8,5.0,10.5
503.6372,509.1546,6.0,1.4,0.5,5.0,10.5
521.0717,527.4513,5.0,1.7,1.4,5.0,10.5
540.099,545.6163,2.0,1.2,0.5,5.0,10.5
557.2884,562.9965,2.0,1.3,0.7,5.0,10.5
575.215,580.8456,4.0,1.4,0.6,5.0,10.5
592.7325,598.4384,1.0,1.3,0.7,5.0,10.5
610.6689,617.5875,2.0,1.4,1.9,5.0,10.5
629.5046,635.1204,5.0,1.3,0.6,5.0,10.5
647.3483,653.0308,5.0,1.9,2.2,5.0,10.5
