Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.0,1.0,3.9,0.0,5.0,11.5
20.431,25.431,3.0,2.9,0.0,5.0,11.5
39.7369,44.7369,3.0,1.8,0.0,5.0,11.5
57.9673,62.9673,2.0,2.5,0.0,5.0,11.5
77.0026,82.0026,2.0,3.8,0.0,5.0,11.5
97.1672,102.1672,2.0,1.4,0.0,5.0,11.5
115.0699,120.0699,4.0,3.8,0.0,5.0,11.5
135.2346,140.2346,4.0,1.1,0.0,5.0,11.5
152.8501,157.8501,1.0,1.5,0.0,5.0,11.5
170.893,175.893,5.0,1.7,0.0,5.0,11.5
189.1235,194.1235,3.0,1.0,0.0,5.0,11.5
206.6566,211.6566,3.0,1.2,0.0,5.0,11.5
224.3352,229.3352,4.0,2.4,0.0,5.0,11.5
243.2442,248.2442,6.0,3.0,0.0,5.0,11.5
262.718,267.718,1.0,1.2,0.0,5.0,11.5
280.3335,285.3335,1.0,1.8,0.0,5.0,11.5
298.564,303.564,2.0,1.5,0.0,5.0,11.5
316.5708,321.5708,1.0,1.4,0.0,5.0,11.5
334.4978,339.4978,6.0,3.0,0.0,5.0,11.5
353.8967,358.8967,2.0,1.1,0.0,5.0,11.5
371.5245,376.5245,1.0,1.0,0.0,5.0,11.5
389.0257,394.0257,6.0,1.4,0.0,5.0,11.5
406.8629,411.8629,4.0,1.5,0.0,5.0,11.5
424.7656,429.7656,4.0,2.6,0.0,5.0,11.5
443.8008,448.8008,6.0,2.7,0.0,5.0,11.5
463.0506,468.0506,6.0,2.4,0.0,5.0,11.5
481.9596,486.9596,6.0,1.5,0.0,5.0,11.5
499.8866,504.8866,2.0,1.9,0.0,5.0,11.5
518.238,523.238,3.0,1.5,0.0,5.0,11.5
536.2845,541.2845,3.0,2.5,0.0,5.0,11.5
555.1935,560.1935,4.0,2.1,0.0,5.0,11.5
573.7278,578.7278,5.0,1.5,0.0,5.0,11.5
591.6548,596.6548,5.0,1.4,0.0,5.0,11.5
609.5575,614.5575,5.0,1.4,0.0,5.0,11.5
627.3947,632.3947,5.0,2.4,0.0,5.0,11.5
646.3037,651.3037,5.0,1.9,0.0,5.0,11.5
