Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.6252,5.0,1.6,0.6,5.0,10.5
17.9815,23.6066,4.0,2.9,0.6,5.0,10.5
37.3303,42.8644,3.0,3.0,0.5,5.0,10.5
56.3947,61.9796,4.0,2.5,0.6,5.0,10.5
74.9671,80.6329,3.0,1.9,2.4,5.0,10.5
93.3743,98.9189,1.0,1.9,0.5,5.0,10.5
111.6161,117.1391,1.0,2.7,0.5,5.0,10.5
130.6246,136.2498,6.0,3.2,0.6,5.0,10.5
149.9534,155.4875,1.0,3.0,0.5,5.0,10.5
169.2807,175.2516,6.0,2.0,2.7,5.0,10.5
187.791,193.5209,6.0,2.0,0.7,5.0,10.5
205.9765,211.8249,3.0,1.2,0.8,5.0,10.5
223.4823,229.7142,3.0,1.4,2.9,5.0,10.5
241.9198,247.9488,5.0,1.4,1.0,5.0,10.5
259.8813,265.6112,4.0,1.1,0.7,5.0,10.5
277.2419,282.7864,5.0,3.1,0.5,5.0,10.5
296.6901,302.5882,4.0,1.9,0.9,5.0,10.5
315.2854,320.914,5.0,1.8,0.6,5.0,10.5
333.1715,339.0198,2.0,2.2,0.8,5.0,10.5
351.7612,357.2842,2.0,2.5,0.5,5.0,10.5
370.5425,376.0766,2.0,1.9,0.5,5.0,10.5
388.7738,394.5698,2.0,1.3,0.8,5.0,10.5
406.3232,411.9624,3.0,3.0,0.6,5.0,10.5
425.7557,431.3188,3.0,3.4,0.6,5.0,10.5
445.558,451.587,2.0,1.6,2.7,5.0,10.5
463.7193,470.6172,2.0,3.0,1.9,5.0,10.5
484.4104,490.0496,5.0,1.1,0.6,5.0,10.5
501.667,507.3233,5.0,2.2,0.7,5.0,10.5
520.0282,525.5685,1.0,1.9,0.5,5.0,10.5
537.9248,543.6547,1.0,1.1,0.7,5.0,10.5
555.2854,560.8485,1.0,2.2,2.3,5.0,10.5
573.836,579.3701,4.0,1.0,0.5,5.0,10.5
590.891,596.9009,6.0,1.6,1.0,5.0,10.5
608.9514,615.2303,6.0,1.0,1.3,5.0,10.5
626.756,633.6538,6.0,1.2,1.9,5.0,10.5
645.3112,651.0407,4.0,1.6,0.7,5.0,10.5
