Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.6183,4.0,3.1,0.6,5.0,10.5
19.2431,25.2237,1.0,1.2,1.0,5.0,10.5
37.4522,43.0092,2.0,1.3,0.6,5.0,10.5
55.3116,61.0203,6.0,1.8,0.7,5.0,10.5
73.8153,79.809,5.0,1.0,1.0,5.0,10.5
91.3228,97.93,5.0,1.4,3.5,5.0,10.5
109.8658,115.4646,2.0,2.1,0.6,5.0,10.5
128.5907,135.0503,1.0,2.9,1.5,5.0,10.5
148.4872,154.0192,6.0,2.1,0.5,5.0,10.5
167.1242,172.6737,5.0,2.1,0.5,5.0,10.5
185.7998,191.5902,4.0,1.3,0.8,5.0,10.5
203.3785,209.0444,4.0,4.6,0.7,5.0,10.5
224.6083,230.3987,2.0,2.0,0.8,5.0,10.5
243.4413,249.0401,1.0,1.4,0.6,5.0,10.5
260.9759,266.533,4.0,2.6,0.6,5.0,10.5
280.1209,285.9581,4.0,1.2,0.8,5.0,10.5
298.1866,303.7437,2.0,1.7,2.5,5.0,10.5
315.9723,321.5218,2.0,1.0,0.5,5.0,10.5
333.0356,338.5384,3.0,1.7,0.5,5.0,10.5
350.6924,356.2383,3.0,1.4,0.5,5.0,10.5
368.1561,373.7744,2.0,2.3,0.6,5.0,10.5
386.5694,392.127,3.0,2.0,2.5,5.0,10.5
405.1514,410.6973,1.0,2.3,0.5,5.0,10.5
423.5384,429.2786,3.0,1.4,0.7,5.0,10.5
441.2184,446.8367,3.0,1.5,0.6,5.0,10.5
458.789,464.5794,5.0,2.6,0.8,5.0,10.5
478.1673,483.6702,6.0,1.2,0.5,5.0,10.5
495.8242,502.4538,6.0,2.6,1.6,5.0,10.5
516.0786,521.628,6.0,2.5,2.4,5.0,10.5
534.6524,540.452,4.0,1.0,0.8,5.0,10.5
551.9916,557.5903,5.0,1.5,0.6,5.0,10.5
569.5994,575.1489,1.0,2.6,0.5,5.0,10.5
588.275,593.8738,3.0,1.0,0.6,5.0,10.5
605.4199,610.9853,1.0,2.5,2.5,5.0,10.5
624.0278,629.7804,5.0,2.0,0.8,5.0,10.5
642.3027,648.2833,6.0,4.6,1.0,5.0,10.5
