Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.603,2.0,1.5,0.6,5.0,10.5
17.5887,23.1765,2.0,4.4,0.6,5.0,10.5
38.2738,44.2696,6.0,3.1,1.0,5.0,10.5
57.8549,63.4399,6.0,1.8,0.6,5.0,10.5
75.7486,81.5916,6.0,1.4,0.8,5.0,10.5
93.4733,99.8776,3.0,1.6,1.4,5.0,10.5
112.1863,118.5483,4.0,1.9,1.4,5.0,10.5
130.9676,136.5997,1.0,2.8,0.6,5.0,10.5
149.934,155.5158,3.0,1.4,0.6,5.0,10.5
167.3975,172.9825,1.0,1.8,0.6,5.0,10.5
185.4018,191.7638,1.0,1.1,2.6,5.0,10.5
203.3387,208.9391,1.0,2.3,0.6,5.0,10.5
221.7427,227.5857,1.0,3.5,0.8,5.0,10.5
241.5616,248.2216,3.0,1.5,1.7,5.0,10.5
260.2299,265.8149,4.0,1.0,1.8,5.0,10.5
277.3264,282.9114,3.0,1.6,0.6,5.0,10.5
295.1142,300.9723,2.0,1.3,2.1,5.0,10.5
312.7415,318.3419,4.0,1.7,0.6,5.0,10.5
330.5446,336.1323,4.0,2.1,0.6,5.0,10.5
348.7869,355.1606,4.0,2.6,1.4,5.0,10.5
368.4658,374.2787,4.0,3.0,0.8,5.0,10.5
387.8573,394.231,2.0,2.6,2.6,5.0,10.5
407.5362,413.6429,2.0,1.4,1.1,5.0,10.5
425.5858,431.3387,6.0,2.1,0.8,5.0,10.5
443.9933,449.5751,6.0,2.2,0.6,5.0,10.5
462.3787,468.4107,5.0,1.4,1.0,5.0,10.5
480.3536,485.9414,5.0,3.2,0.6,5.0,10.5
499.762,505.4794,5.0,1.5,1.9,5.0,10.5
517.6231,524.0274,6.0,1.4,1.4,5.0,10.5
535.9602,541.4661,5.0,2.1,0.5,5.0,10.5
554.1784,559.7788,5.0,3.0,0.6,5.0,10.5
573.3641,579.2071,3.0,2.6,0.8,5.0,10.5
592.4527,598.0848,5.0,1.3,0.6,5.0,10.5
609.854,615.4054,2.0,1.1,0.6,5.0,10.5
627.0415,632.6292,1.0,1.5,0.6,5.0,10.5
644.6375,650.2806,3.0,1.5,0.6,5.0,10.5
