Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5516,2.0,1.1,0.6,5.0,10.5
17.1142,22.6461,5.0,5.0,0.5,5.0,10.5
38.1511,43.6547,2.0,2.3,0.5,5.0,10.5
57.0336,62.623,2.0,1.0,0.6,5.0,10.5
74.7713,81.335,5.0,1.0,1.6,5.0,10.5
93.4587,98.9591,1.0,2.4,0.5,5.0,10.5
112.44,118.5438,6.0,1.3,1.1,5.0,10.5
130.9612,136.7425,6.0,2.3,0.8,5.0,10.5
149.5711,155.0715,3.0,2.6,0.5,5.0,10.5
168.1942,173.7115,6.0,1.5,0.5,5.0,10.5
185.731,191.3725,3.0,2.6,0.6,5.0,10.5
204.4714,210.2561,2.0,1.9,2.7,5.0,10.5
223.2739,229.152,2.0,2.0,0.9,5.0,10.5
241.6021,247.2953,4.0,4.4,2.6,5.0,10.5
262.8003,268.3853,6.0,3.8,0.6,5.0,10.5
282.6572,288.4355,1.0,1.2,2.7,5.0,10.5
300.1727,305.8935,1.0,2.5,0.7,5.0,10.5
318.9061,324.596,3.0,2.3,0.7,5.0,10.5
337.9749,343.5643,5.0,3.0,0.6,5.0,10.5
357.0451,362.5455,4.0,1.4,0.5,5.0,10.5
374.4194,379.9935,4.0,1.0,0.6,5.0,10.5
391.5228,397.0626,5.0,1.0,0.5,5.0,10.5
409.2109,414.9041,1.0,1.1,0.7,5.0,10.5
427.0957,432.6851,3.0,1.2,2.5,5.0,10.5
444.3489,450.6328,4.0,1.9,1.3,5.0,10.5
463.6775,469.4472,4.0,4.0,0.8,5.0,10.5
484.5036,490.0709,1.0,1.3,0.6,5.0,10.5
502.4488,508.011,4.0,1.6,0.6,5.0,10.5
520.0687,526.047,6.0,2.5,1.0,5.0,10.5
539.0597,545.0805,1.0,1.2,1.0,5.0,10.5
556.7443,562.7226,5.0,1.5,2.9,5.0,10.5
574.7422,580.4235,5.0,2.3,0.7,5.0,10.5
593.8024,599.4838,3.0,2.4,0.7,5.0,10.5
612.9647,618.5497,3.0,1.7,0.6,5.0,10.5
630.7413,636.5226,2.0,1.2,0.8,5.0,10.5
648.2398,654.0181,6.0,1.0,0.8,5.0,10.5
