Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.9213,1.0,1.6,0.9,5.0,10.5
18.1817,24.0486,6.0,1.6,0.9,5.0,10.5
36.1749,42.2802,2.0,1.1,1.1,5.0,10.5
53.9086,59.7756,4.0,2.4,0.9,5.0,10.5
72.6361,78.1592,1.0,3.7,0.5,5.0,10.5
92.5596,98.8032,1.0,1.4,1.2,5.0,10.5
110.9153,116.5766,1.0,1.2,0.7,5.0,10.5
128.2513,134.253,2.0,1.4,1.0,5.0,10.5
146.3652,152.367,6.0,2.7,1.0,5.0,10.5
165.7518,171.2794,6.0,2.6,0.5,5.0,10.5
184.5763,190.2053,6.0,1.6,0.6,5.0,10.5
202.333,207.9781,3.0,2.9,0.6,5.0,10.5
221.3481,227.1059,3.0,2.8,2.3,5.0,10.5
240.4028,247.1709,1.0,1.1,1.8,5.0,10.5
258.7703,264.2979,2.0,1.4,0.5,5.0,10.5
276.4242,282.7253,5.0,2.4,2.8,5.0,10.5
295.5858,301.2304,5.0,2.3,0.6,5.0,10.5
314.017,319.7928,1.0,1.1,0.8,5.0,10.5
331.3435,337.2105,2.0,1.8,0.9,5.0,10.5
349.7562,355.3893,5.0,1.8,0.6,5.0,10.5
367.6496,373.3109,5.0,1.5,0.7,5.0,10.5
385.3059,390.837,3.0,2.4,2.0,5.0,10.5
403.9383,409.4642,3.0,1.0,0.5,5.0,10.5
420.9682,426.4958,3.0,2.0,0.5,5.0,10.5
439.202,444.8351,3.0,1.5,0.6,5.0,10.5
456.8301,462.459,5.0,1.1,0.6,5.0,10.5
474.0497,479.6662,6.0,1.1,2.1,5.0,10.5
491.2656,497.5734,2.0,4.7,1.3,5.0,10.5
512.792,518.4085,2.0,2.3,0.6,5.0,10.5
531.2038,536.7314,4.0,1.2,0.5,5.0,10.5
548.4061,554.7138,4.0,1.6,1.3,5.0,10.5
567.0457,573.151,4.0,2.7,1.1,5.0,10.5
586.5358,592.2738,5.0,2.7,0.7,5.0,10.5
605.6586,611.3036,6.0,3.0,0.6,5.0,10.5
625.006,630.5372,4.0,2.4,0.5,5.0,10.5
643.6385,649.295,4.0,2.3,2.2,5.0,10.5
