Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5313,3.0,1.0,0.5,5.0,10.5
17.695,23.7207,4.0,1.7,3.1,5.0,10.5
36.6019,42.3864,2.0,2.4,0.8,5.0,10.5
55.2676,60.9043,2.0,0.9,0.6,5.0,10.5
72.9643,78.6561,5.0,1.1,0.7,5.0,10.5
90.2663,95.8807,5.0,1.0,0.6,5.0,10.5
107.4216,113.0442,3.0,2.9,0.6,5.0,10.5
127.1269,132.6696,6.0,2.6,0.5,5.0,10.5
146.4225,152.0981,2.0,1.1,0.7,5.0,10.5
163.7084,169.3134,2.0,2.6,0.6,5.0,10.5
183.0663,189.0131,3.0,1.1,0.9,5.0,10.5
200.5858,206.0939,5.0,1.5,2.6,5.0,10.5
218.0959,223.88,2.0,1.0,0.8,5.0,10.5
235.4142,241.1496,1.0,1.5,2.8,5.0,10.5
253.106,258.7978,1.0,2.4,0.7,5.0,10.5
271.6791,277.2939,3.0,3.3,0.6,5.0,10.5
291.7913,297.2994,1.0,1.0,0.5,5.0,10.5
308.8403,314.532,4.0,1.1,0.7,5.0,10.5
326.1142,331.6611,6.0,2.3,0.5,5.0,10.5
345.1932,350.7244,1.0,1.6,0.5,5.0,10.5
363.5079,369.028,5.0,1.4,0.5,5.0,10.5
380.9358,386.8661,5.0,4.9,0.9,5.0,10.5
402.2241,407.7442,3.0,3.3,0.5,5.0,10.5
421.4971,427.0003,2.0,1.6,0.5,5.0,10.5
439.7838,445.4594,6.0,0.9,0.7,5.0,10.5
457.5194,463.1561,3.0,3.0,0.6,5.0,10.5
477.3359,482.8672,4.0,2.8,0.5,5.0,10.5
496.2007,502.8072,4.0,3.7,1.6,5.0,10.5
516.987,522.8238,6.0,1.6,2.9,5.0,10.5
535.6073,541.4228,6.0,1.0,0.8,5.0,10.5
552.957,558.6327,5.0,1.5,2.8,5.0,10.5
570.5891,577.3966,4.0,4.2,1.8,5.0,10.5
592.7546,598.3913,4.0,1.5,0.6,5.0,10.5
610.3478,615.8905,1.0,3.0,0.5,5.0,10.5
630.0703,635.6847,1.0,1.8,0.6,5.0,10.5
647.9436,653.679,6.0,1.4,0.7,5.0,10.5
