Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5257,3.0,2.0,0.5,5.0,10.5
18.0474,23.7122,3.0,1.7,0.7,5.0,10.5
35.9376,41.7577,3.0,1.6,0.8,5.0,10.5
53.8305,59.4585,3.0,2.4,0.6,5.0,10.5
72.3767,78.6585,4.0,3.0,2.9,5.0,10.5
92.1829,97.8478,4.0,1.7,2.3,5.0,10.5
110.4453,116.8652,1.0,1.1,1.4,5.0,10.5
128.4196,134.1498,5.0,2.4,0.7,5.0,10.5
147.068,153.2363,1.0,1.7,1.2,5.0,10.5
165.8338,171.7283,3.0,1.5,0.9,5.0,10.5
183.6834,189.2429,3.0,3.2,0.6,5.0,10.5
202.9888,208.7176,2.0,2.6,0.7,5.0,10.5
222.2084,227.84,6.0,1.6,0.6,5.0,10.5
240.3617,245.8667,5.0,1.7,0.5,5.0,10.5
258.4346,264.3965,4.0,1.6,1.0,5.0,10.5
276.9181,283.0864,4.0,1.4,1.2,5.0,10.5
295.0012,300.7906,2.0,2.3,0.8,5.0,10.5
313.6146,319.3683,2.0,2.8,0.8,5.0,10.5
333.1142,338.6244,2.0,2.0,0.5,5.0,10.5
351.5426,357.5292,5.0,1.6,1.0,5.0,10.5
369.9831,375.9568,2.0,1.3,2.6,5.0,10.5
387.7976,393.5278,6.0,2.7,0.7,5.0,10.5
406.7585,412.2842,5.0,1.2,0.5,5.0,10.5
424.3571,430.0873,1.0,2.6,0.7,5.0,10.5
443.6099,449.2415,1.0,2.6,0.6,5.0,10.5
462.7323,468.3312,5.0,1.5,0.6,5.0,10.5
480.2873,486.0474,6.0,1.9,0.8,5.0,10.5
498.8435,504.6635,2.0,3.0,0.8,5.0,10.5
518.1861,523.6963,1.0,3.0,0.5,5.0,10.5
537.2207,542.9496,4.0,1.6,0.7,5.0,10.5
555.0225,560.9843,6.0,2.1,1.0,5.0,10.5
573.5522,579.1117,6.0,2.6,2.2,5.0,10.5
592.6343,598.8692,4.0,1.9,2.8,5.0,10.5
611.2715,616.8574,6.0,1.4,0.6,5.0,10.5
628.7557,634.5159,5.0,1.3,0.8,5.0,10.5
646.3005,651.8864,1.0,1.7,0.6,5.0,10.5
