Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.4647,2.0,3.0,0.5,5.0,8.0
17.4647,22.8159,5.0,3.8,3.5,5.0,8.0
34.6194,39.6843,6.0,3.0,0.1,5.0,8.0
51.6843,56.8971,3.0,3.0,0.2,5.0,8.0
68.8971,74.1704,6.0,0.7,0.3,5.0,8.0
82.878,88.5759,5.0,1.2,0.7,5.0,8.0
97.8198,103.2845,1.0,3.0,0.5,5.0,8.0
115.2845,122.2118,2.0,1.4,1.9,5.0,8.0
131.6574,136.8715,4.0,1.5,0.2,5.0,8.0
147.333,153.1533,1.0,0.4,0.8,5.0,8.0
161.5145,166.5794,2.0,1.7,0.1,5.0,8.0
176.3116,181.3839,6.0,3.0,0.1,5.0,8.0
193.3839,198.7551,3.0,0.7,0.4,5.0,8.0
207.4627,212.814,6.0,1.6,3.5,5.0,8.0
222.4386,227.8958,3.0,2.5,0.5,5.0,8.0
239.3467,244.8371,6.0,1.1,0.5,5.0,8.0
253.8953,260.8953,2.0,2.1,5.0,5.0,8.0
271.9654,277.5338,2.0,0.5,0.6,5.0,8.0
286.0031,291.2159,5.0,0.4,0.2,5.0,8.0
299.5685,304.7827,5.0,3.0,0.2,5.0,8.0
316.7827,322.351,3.0,2.2,0.6,5.0,8.0
333.5278,338.9925,3.0,0.1,0.5,5.0,8.0
347.1254,352.3796,3.0,2.5,0.3,5.0,8.0
362.8411,367.9134,4.0,1.2,0.1,5.0,8.0
377.1319,382.3447,4.0,3.1,0.2,5.0,8.0
393.4148,399.3485,1.0,3.0,0.9,5.0,8.0
411.3485,416.4208,5.0,4.0,0.1,5.0,8.0
428.4208,434.1916,5.0,3.0,0.8,5.0,8.0
446.1916,452.3194,1.0,3.1,1.1,5.0,8.0
463.3895,470.3895,6.0,3.0,5.1,5.0,8.0
482.3895,487.7607,4.0,1.5,0.4,5.0,8.0
497.2556,503.1892,2.0,1.5,4.0,5.0,8.0
513.6507,518.9624,1.0,0.7,0.3,5.0,8.0
528.6946,533.9679,4.0,1.4,0.3,5.0,8.0
543.4135,548.4367,4.0,4.0,0.1,5.0,8.0
560.4367,566.9062,1.0,0.6,1.5,5.0,8.0
