Event1 onset,Event2 onset,Trial type,ISI1,ISI2,Event1Dur,Event2Dur
0.0,5.5352,1.0,4.2,0.5,5.0,10.5
20.278,26.0406,2.0,1.4,0.8,5.0,10.5
38.3893,43.9958,3.0,1.5,0.6,5.0,10.5
56.0175,61.989,5.0,2.9,1.0,5.0,10.5
75.8161,81.9523,4.0,1.6,1.1,5.0,10.5
94.4626,99.9886,6.0,1.5,0.5,5.0,10.5
111.9413,117.4943,6.0,2.9,0.6,5.0,10.5
131.3215,137.3978,6.0,2.2,1.1,5.0,10.5
150.1163,156.0153,2.0,1.5,0.9,5.0,10.5
167.968,173.6671,2.0,2.9,0.7,5.0,10.5
187.4942,193.4007,1.0,1.3,0.9,5.0,10.5
205.2486,211.7542,6.0,2.6,2.9,5.0,10.5
225.3011,230.9101,6.0,2.4,0.6,5.0,10.5
244.1787,249.8947,1.0,2.9,0.7,5.0,10.5
263.7219,269.3235,1.0,1.1,0.6,5.0,10.5
280.9053,286.5707,4.0,2.0,0.7,5.0,10.5
299.0502,304.6592,4.0,1.3,2.0,5.0,10.5
316.457,322.006,4.0,1.6,0.5,5.0,10.5
334.5081,340.2072,4.0,2.6,2.1,5.0,10.5
353.3289,359.4651,3.0,2.3,1.1,5.0,10.5
372.244,378.2155,3.0,1.1,1.0,5.0,10.5
389.8174,395.4191,5.0,2.7,0.6,5.0,10.5
409.0595,414.6685,5.0,1.7,0.6,5.0,10.5
427.2869,432.9269,4.0,1.5,0.6,5.0,10.5
444.9734,451.2781,3.0,2.4,1.3,5.0,10.5
464.5467,470.9576,5.0,2.2,1.4,5.0,10.5
483.6299,489.1977,2.0,1.8,0.6,5.0,10.5
501.9324,507.6913,3.0,1.4,0.8,5.0,10.5
519.6159,525.1511,6.0,2.5,0.5,5.0,10.5
538.109,543.7214,5.0,2.2,0.6,5.0,10.5
556.8431,563.254,1.0,1.3,2.8,5.0,10.5
575.0518,580.7172,1.0,1.6,2.1,5.0,10.5
593.2193,599.2388,5.0,1.8,1.0,5.0,10.5
611.5875,617.6071,2.0,1.5,1.0,5.0,10.5
629.6535,635.1945,3.0,3.0,0.5,5.0,10.5
648.7415,654.2825,2.0,1.1,0.5,5.0,10.5
