,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,34,60,6,5.0,high_cue,med_stim,1.3,1.0,2.1,4.0,1.3,9.0,2.2,4.0,h021.png,12,diff,12_100_R.jpg,1.3,2.3,4.4,8.4,9.700000000000001,18.700000000000003,20.900000000000002,24.900000000000002
1,58,61,6,1.0,low_cue,low_stim,5.8,1.0,2.1,4.0,6.9,9.0,5.9,4.0,l041.png,34,diff,34_50_R.jpg,30.700000000000003,31.700000000000003,33.800000000000004,37.800000000000004,44.7,53.7,59.60000000000001,63.60000000000001
2,22,62,6,4.0,high_cue,low_stim,5.2,1.0,1.0,4.0,6.9,9.0,3.6,4.0,h026.png,12,diff,12_50_R.jpg,68.80000000000001,69.80000000000001,70.80000000000001,74.80000000000001,81.70000000000002,90.70000000000002,94.30000000000001,98.30000000000001
3,10,63,6,6.0,high_cue,high_stim,4.5,1.0,2.1,4.0,5.2,9.0,0.6,4.0,h053.png,34,same,34_150.jpg,102.80000000000001,103.80000000000001,105.9,109.9,115.10000000000001,124.10000000000001,124.70000000000002,128.70000000000002
4,23,64,6,4.0,high_cue,low_stim,1.3,1.0,2.1,4.0,1.3,9.0,2.2,4.0,h008.png,43,diff,43_50_R.jpg,130.00000000000003,131.00000000000003,133.10000000000002,137.10000000000002,138.4,147.40000000000003,149.60000000000002,153.60000000000002
5,35,65,6,5.0,high_cue,med_stim,6.9,1.0,1.0,4.0,5.2,9.0,1.0,4.0,h024.png,27,same,27_100.jpg,160.50000000000003,161.50000000000003,162.50000000000003,166.50000000000003,171.70000000000002,180.70000000000002,181.70000000000002,185.70000000000002
6,46,66,6,3.0,low_cue,high_stim,8.4,1.0,1.4,4.0,2.6,9.0,9.5,4.0,l021.png,31,diff,31_150_R.jpg,194.10000000000002,195.10000000000002,196.50000000000003,200.50000000000003,203.10000000000002,212.10000000000002,221.60000000000002,225.60000000000002
7,70,67,6,2.0,low_cue,med_stim,3.0,1.0,1.9,4.0,2.6,9.0,7.1,4.0,l027.png,29,diff,29_100_R.jpg,228.60000000000002,229.60000000000002,231.50000000000003,235.50000000000003,238.10000000000002,247.10000000000002,254.20000000000002,258.20000000000005
8,11,68,6,6.0,high_cue,high_stim,9.4,1.0,0.8,4.0,2.6,9.0,4.6,4.0,h031.png,41,diff,41_150_R.jpg,267.6,268.6,269.40000000000003,273.40000000000003,276.00000000000006,285.00000000000006,289.6,293.6
9,71,69,6,2.0,low_cue,med_stim,1.3,1.0,1.5,4.0,2.1,9.0,2.7,4.0,l053.png,8,same,8_100.jpg,294.90000000000003,295.90000000000003,297.40000000000003,301.40000000000003,303.5,312.5,315.20000000000005,319.20000000000005
10,59,70,6,1.0,low_cue,low_stim,5.2,1.0,0.9,4.0,11.5,9.0,13.4,4.0,l003.png,41,same,41_50.jpg,324.40000000000003,325.40000000000003,326.30000000000007,330.30000000000007,341.80000000000007,350.80000000000007,364.20000000000005,368.20000000000005
11,47,71,6,3.0,low_cue,high_stim,1.6,1.0,1.0,4.0,5.8,9.0,1.0,4.0,l028.png,8,same,8_150.jpg,369.80000000000007,370.80000000000007,371.80000000000007,375.80000000000007,381.6,390.6,391.6,395.6
