,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,64,24,3,2.0,low_cue,med_stim,2.7,1.0,1.0,4.0,4.7,9.0,2.9,4.0,l029.png,43,diff,43_100_R.jpg,2.7,3.7,4.7,8.7,13.399999999999999,22.4,25.299999999999997,29.299999999999997
1,52,25,3,1.0,low_cue,low_stim,1.7,1.0,1.3,4.0,7.5,9.0,1.9,4.0,l025.png,48,diff,48_50_R.jpg,30.999999999999996,31.999999999999996,33.3,37.3,44.8,53.8,55.699999999999996,59.699999999999996
2,40,26,3,3.0,low_cue,high_stim,11.7,1.0,1.3,4.0,4.8,9.0,2.1,4.0,l039.png,33,same,33_150.jpg,71.39999999999999,72.39999999999999,73.69999999999999,77.69999999999999,82.5,91.5,93.6,97.6
3,16,27,3,4.0,high_cue,low_stim,3.4,1.0,1.8,4.0,2.6,9.0,5.2,4.0,h038.png,33,diff,33_50_R.jpg,101.0,102.0,103.8,107.8,110.39999999999999,119.39999999999999,124.6,128.6
4,28,28,3,5.0,high_cue,med_stim,6.9,1.0,0.7,4.0,9.0,9.0,5.2,4.0,h021.png,22,diff,22_100_R.jpg,135.5,136.5,137.2,141.2,150.2,159.2,164.4,168.4
5,4,29,3,6.0,high_cue,high_stim,6.9,1.0,0.8,4.0,2.6,9.0,5.2,4.0,h045.png,45,same,45_150.jpg,175.3,176.3,177.1,181.1,183.70000000000002,192.70000000000002,197.9,201.9
6,17,30,3,4.0,high_cue,low_stim,2.0,1.0,2.0,4.0,3.6,9.0,9.5,4.0,h012.png,34,diff,34_50_R.jpg,203.9,204.9,206.9,210.9,214.5,223.5,233.0,237.0
7,41,31,3,3.0,low_cue,high_stim,2.2,1.0,1.7,4.0,2.9,9.0,1.0,4.0,l045.png,17,same,17_150.jpg,239.2,240.2,241.9,245.9,248.8,257.8,258.8,262.8
8,5,32,3,6.0,high_cue,high_stim,5.2,1.0,2.0,4.0,1.9,9.0,11.8,4.0,h029.png,43,same,43_150.jpg,268.0,269.0,271.0,275.0,276.90000000000003,285.90000000000003,297.70000000000005,301.70000000000005
9,65,33,3,2.0,low_cue,med_stim,2.0,1.0,1.3,4.0,3.6,9.0,1.9,4.0,l001.png,44,same,44_100.jpg,303.70000000000005,304.70000000000005,306.00000000000006,310.00000000000006,313.6,322.6,324.50000000000006,328.50000000000006
10,29,34,3,5.0,high_cue,med_stim,2.2,1.0,2.0,4.0,6.3,9.0,5.4,4.0,h036.png,44,diff,44_100_R.jpg,330.70000000000005,331.70000000000005,333.70000000000005,337.70000000000005,344.00000000000006,353.00000000000006,358.40000000000003,362.40000000000003
11,53,35,3,1.0,low_cue,low_stim,6.9,1.0,2.0,4.0,4.6,9.0,2.0,4.0,l051.png,43,diff,43_50_R.jpg,369.3,370.3,372.3,376.3,380.90000000000003,389.90000000000003,391.90000000000003,395.90000000000003
