,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l005.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4,0.6,1.6,3.3,7.3,13.7,22.7,29.799999999999997,33.8
1,1,1,1,5.0,high_cue,med_stim,2.1,4.5,7.1,5.0,1.0,4.0,9.0,4.0,h018.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4,38.8,39.8,41.9,45.9,50.4,59.4,66.5,70.5
2,2,2,1,1.0,low_cue,low_stim,2.1,0.5,2.8,5.1,1.0,4.0,9.0,4.0,l047.png,047-jl047,jl047*L.mp4,jl047t1aaunaff_L.mp4,75.6,76.6,78.7,82.7,83.2,92.2,95.0,99.0
3,3,3,1,1.0,low_cue,low_stim,0.5,0.8,6.8,4.1,1.0,4.0,9.0,4.0,l002.png,097-gf097,gf097*L.mp4,gf097t2aiunaff_L.mp4,103.1,104.1,104.6,108.6,109.4,118.4,125.2,129.2
4,4,4,1,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h039.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4,134.29999999999998,135.29999999999998,137.39999999999998,141.39999999999998,145.1,154.1,157.1,161.1
5,5,5,1,5.0,high_cue,med_stim,1.0,0.5,2.8,5.1,1.0,4.0,9.0,4.0,h013.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4,166.2,167.2,168.2,172.2,172.7,181.7,184.5,188.5
6,6,6,1,4.0,high_cue,low_stim,1.0,7.0,5.9,3.1,1.0,4.0,9.0,4.0,h022.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4,191.6,192.6,193.6,197.6,204.6,213.6,219.5,223.5
7,7,7,1,3.0,low_cue,high_stim,1.5,8.0,4.4,8.5,1.0,4.0,9.0,4.0,l040.png,106-nm106,nm106*H.mp4,nm106t1afaff_H.mp4,232.0,233.0,234.5,238.5,246.5,255.5,259.9,263.9
8,8,8,1,2.0,low_cue,med_stim,2.1,5.7,0.8,5.1,1.0,4.0,9.0,4.0,l031.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4,269.0,270.0,272.09999999999997,276.09999999999997,281.79999999999995,290.79999999999995,291.59999999999997,295.59999999999997
9,9,9,1,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l037.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4,297.09999999999997,298.09999999999997,298.99999999999994,302.99999999999994,310.7,319.7,323.29999999999995,327.29999999999995
10,10,10,1,6.0,high_cue,high_stim,1.7,1.4,0.5,7.8,1.0,4.0,9.0,4.0,h048.png,107-hs107,hs107*H.mp4,hs107t1afaff_H.mp4,335.09999999999997,336.09999999999997,337.79999999999995,341.79999999999995,343.19999999999993,352.19999999999993,352.69999999999993,356.69999999999993
11,11,11,1,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h038.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4,359.79999999999995,360.79999999999995,361.99999999999994,365.99999999999994,373.69999999999993,382.69999999999993,391.79999999999995,395.79999999999995
