,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.7751,13.3426,24.7781,4.0,1.4,4.6,2.4,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h014.png,1.9,2.9,4.3,8.3,12.9,21.9,24.299999999999997,28.299999999999997
1,1,30.6699,32.4806,37.6043,49.5037,1.0,0.8,1.1,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l010.png,30.199999999999996,31.199999999999996,31.999999999999996,36.0,37.099999999999994,46.099999999999994,50.3,54.3
2,2,55.4326,57.5708,64.1815,75.7618,2.0,1.1,2.6,2.6,0.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png,55.199999999999996,56.199999999999996,57.3,61.3,63.9,72.9,75.5,79.5
3,3,80.6363,87.2454,96.4051,107.7384,3.0,2.1,9.4,2.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l034.png,80.6,81.6,83.7,87.7,97.1,106.1,108.4,112.4
4,4,112.715,117.4901,122.9117,134.245,5.0,1.4,1.4,2.3,0.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h053.png,113.0,114.0,115.4,119.4,120.80000000000001,129.8,132.1,136.1
5,5,138.8906,141.0289,146.3595,156.792,6.0,1.1,5.5,1.4,0.7,1.0,4.0,9.0,4.0,high_cue,high_stim,h009.png,136.79999999999998,137.79999999999998,138.9,142.9,148.4,157.4,158.79999999999998,162.79999999999998
6,6,161.4375,165.2519,171.8362,191.7009,4.0,1.1,6.8,12.2,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png,164.79999999999998,165.79999999999998,166.89999999999998,170.89999999999998,177.7,186.7,198.89999999999998,202.89999999999998
7,7,197.6477,201.462,206.3882,219.6394,6.0,1.1,5.1,5.6,7.7,1.0,4.0,9.0,4.0,high_cue,high_stim,h044.png,210.59999999999997,211.59999999999997,212.7,216.7,221.79999999999998,230.79999999999998,236.39999999999998,240.39999999999998
8,8,231.351,237.9601,246.5277,259.7789,1.0,2.1,4.6,4.3,0.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l051.png,241.29999999999998,242.29999999999998,244.39999999999998,248.39999999999998,252.99999999999997,262.0,266.29999999999995,270.29999999999995
9,9,264.6534,271.2626,276.3862,288.2856,2.0,2.1,1.1,4.2,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l019.png,272.29999999999995,273.29999999999995,275.4,279.4,280.49999999999994,289.49999999999994,293.69999999999993,297.69999999999993
10,10,294.1774,298.9525,304.3742,314.8066,3.0,1.4,5.6,2.7,17.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l052.png,314.79999999999995,315.79999999999995,317.19999999999993,321.19999999999993,326.79999999999995,335.79999999999995,338.49999999999994,342.49999999999994
11,11,335.8163,342.4254,352.5722,371.1622,5.0,2.1,6.1,9.6,17.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h039.png,359.49999999999994,360.49999999999994,362.59999999999997,366.59999999999997,372.69999999999993,381.69999999999993,391.29999999999995,395.29999999999995
